text	tokenized	tok_nostem	preprocessed	label
Well , he was old enough to be your father .	['well', 'he', 'was', 'old', 'enough', 'to', 'be', 'your', 'father']	['well', 'he', 'was', 'old', 'enough', 'to', 'be', 'your', 'father']	well he was old enough to be your father	3
Well , I don't know . [PERSON] told me to bring it out this weekend so he can have a first look at it .	['well', 'i', 'dont', 'know', 'person', 'told', 'me', 'to', 'bring', 'it', 'out', 'this', 'weekend', 'so', 'he', 'can', 'have', 'a', 'first', 'look', 'at', 'it']	['well', 'i', 'dont', 'know', 'person', 'told', 'me', 'to', 'bring', 'it', 'out', 'this', 'weekend', 'so', 'he', 'can', 'have', 'a', 'first', 'look', 'at', 'it']	well i dont know person told me to bring it out this weekend so he can have a first look at it	3
Well , I don't .	['well', 'i', 'dont']	['well', 'i', 'dont']	well i dont	3
Well , I know you ain't confusing yourself with getting in shape to ride again .	['well', 'i', 'know', 'you', 'aint', 'confus', 'yourself', 'with', 'get', 'in', 'shape', 'to', 'ride', 'again']	['well', 'i', 'know', 'you', 'aint', 'confusing', 'yourself', 'with', 'getting', 'in', 'shape', 'to', 'ride', 'again']	well i know you aint confus yourself with get in shape to ride again	3
Well , I really put my foot in my mouth this time but , I don't know , I like you two .	['well', 'i', 'realli', 'put', 'my', 'foot', 'in', 'my', 'mouth', 'this', 'time', 'but', 'i', 'dont', 'know', 'i', 'like', 'you', 'two']	['well', 'i', 'really', 'put', 'my', 'foot', 'in', 'my', 'mouth', 'this', 'time', 'but', 'i', 'dont', 'know', 'i', 'like', 'you', 'two']	well i realli put my foot in my mouth this time but i dont know i like you two	8, 3, 5
Well , I still want him for that train robbery up at [LOCATION] .	['well', 'i', 'still', 'want', 'him', 'for', 'that', 'train', 'robberi', 'up', 'at', 'locat']	['well', 'i', 'still', 'want', 'him', 'for', 'that', 'train', 'robbery', 'up', 'at', 'location']	well i still want him for that train robberi up at locat	3
Well , I think it would be a crime if you didn't participate .	['well', 'i', 'think', 'it', 'would', 'be', 'a', 'crime', 'if', 'you', 'didnt', 'particip']	['well', 'i', 'think', 'it', 'would', 'be', 'a', 'crime', 'if', 'you', 'didnt', 'participate']	well i think it would be a crime if you didnt particip	3
Well , I'd like to help you out , mister . There's nothing I can do .	['well', 'id', 'like', 'to', 'help', 'you', 'out', 'mister', 'there', 'noth', 'i', 'can', 'do']	['well', 'id', 'like', 'to', 'help', 'you', 'out', 'mister', 'theres', 'nothing', 'i', 'can', 'do']	well id like to help you out mister there noth i can do	3, 6
Well , it's a shitty world .	['well', 'it', 'a', 'shitti', 'world']	['well', 'its', 'a', 'shitty', 'world']	well it a shitti world	3
Well , it's , very kind of you ...	['well', 'it', 'veri', 'kind', 'of', 'you']	['well', 'its', 'very', 'kind', 'of', 'you']	well it veri kind of you	3
Well , might as well make myself useful .	['well', 'might', 'as', 'well', 'make', 'myself', 'use']	['well', 'might', 'as', 'well', 'make', 'myself', 'useful']	well might as well make myself use	8, 3, 4
Well , she simply said that you're a fat , pompous , bad - tempered old tyrant .	['well', 'she', 'simpli', 'said', 'that', 'your', 'a', 'fat', 'pompous', 'bad', 'temper', 'old', 'tyrant']	['well', 'she', 'simply', 'said', 'that', 'youre', 'a', 'fat', 'pompous', 'bad', 'tempered', 'old', 'tyrant']	well she simpli said that your a fat pompous bad temper old tyrant	3
Well , sir a free translation would be that [PERSON]'s a yellow - bellied polecat of dubious antecedents and conjectural progeny .	['well', 'sir', 'a', 'free', 'translat', 'would', 'be', 'that', 'person', 'a', 'yellow', 'belli', 'polecat', 'of', 'dubious', 'anteced', 'and', 'conjectur', 'progeni']	['well', 'sir', 'a', 'free', 'translation', 'would', 'be', 'that', 'persons', 'a', 'yellow', 'bellied', 'polecat', 'of', 'dubious', 'antecedents', 'and', 'conjectural', 'progeny']	well sir a free translat would be that person a yellow belli polecat of dubious anteced and conjectur progeni	3
Well , that's very poetic .	['well', 'that', 'veri', 'poetic']	['well', 'thats', 'very', 'poetic']	well that veri poetic	3, 5, 7
Well , the tall guy is not really a friend .	['well', 'the', 'tall', 'guy', 'is', 'not', 'realli', 'a', 'friend']	['well', 'the', 'tall', 'guy', 'is', 'not', 'really', 'a', 'friend']	well the tall guy is not realli a friend	3
Well , there's more than one way to skin a cat .	['well', 'there', 'more', 'than', 'one', 'way', 'to', 'skin', 'a', 'cat']	['well', 'theres', 'more', 'than', 'one', 'way', 'to', 'skin', 'a', 'cat']	well there more than one way to skin a cat	3, 4
Well , well , well . What do we have here ?	['well', 'well', 'well', 'what', 'do', 'we', 'have', 'here']	['well', 'well', 'well', 'what', 'do', 'we', 'have', 'here']	well well well what do we have here	3
Well , when you are fat , you don't move so fast .	['well', 'when', 'you', 'are', 'fat', 'you', 'dont', 'move', 'so', 'fast']	['well', 'when', 'you', 'are', 'fat', 'you', 'dont', 'move', 'so', 'fast']	well when you are fat you dont move so fast	3
Well , yesterday , he was just a guy working in the Department of City Planning .	['well', 'yesterday', 'he', 'was', 'just', 'a', 'guy', 'work', 'in', 'the', 'depart', 'of', 'citi', 'plan']	['well', 'yesterday', 'he', 'was', 'just', 'a', 'guy', 'working', 'in', 'the', 'department', 'of', 'city', 'planning']	well yesterday he was just a guy work in the depart of citi plan	3
Well , you see , over here , you know , in the [LOCATION] , they have these big companies that send out these personnel directors to these colleges to sign up the bright students and their wives .	['well', 'you', 'see', 'over', 'here', 'you', 'know', 'in', 'the', 'locat', 'they', 'have', 'these', 'big', 'compani', 'that', 'send', 'out', 'these', 'personnel', 'director', 'to', 'these', 'colleg', 'to', 'sign', 'up', 'the', 'bright', 'student', 'and', 'their', 'wive']	['well', 'you', 'see', 'over', 'here', 'you', 'know', 'in', 'the', 'location', 'they', 'have', 'these', 'big', 'companies', 'that', 'send', 'out', 'these', 'personnel', 'directors', 'to', 'these', 'colleges', 'to', 'sign', 'up', 'the', 'bright', 'students', 'and', 'their', 'wives']	well you see over here you know in the locat they have these big compani that send out these personnel director to these colleg to sign up the bright student and their wive	3
Well ... I guess that means that you and I have gone From being friends to being enemies .	['well', 'i', 'guess', 'that', 'mean', 'that', 'you', 'and', 'i', 'have', 'gone', 'from', 'be', 'friend', 'to', 'be', 'enemi']	['well', 'i', 'guess', 'that', 'means', 'that', 'you', 'and', 'i', 'have', 'gone', 'from', 'being', 'friends', 'to', 'being', 'enemies']	well i guess that mean that you and i have gone from be friend to be enemi	3, 6, 7
Well ... I've heard enough .	['well', 'ive', 'heard', 'enough']	['well', 'ive', 'heard', 'enough']	well ive heard enough	3
Weren't nice of you fellas , trying to steal another man's horse .	['werent', 'nice', 'of', 'you', 'fella', 'tri', 'to', 'steal', 'anoth', 'man', 'hors']	['werent', 'nice', 'of', 'you', 'fellas', 'trying', 'to', 'steal', 'another', 'mans', 'horse']	werent nice of you fella tri to steal anoth man hors	3
What a creature must sit on the throne ... who lets a man like you deal out his justice .	['what', 'a', 'creatur', 'must', 'sit', 'on', 'the', 'throne', 'who', 'let', 'a', 'man', 'like', 'you', 'deal', 'out', 'his', 'justic']	['what', 'a', 'creature', 'must', 'sit', 'on', 'the', 'throne', 'who', 'lets', 'a', 'man', 'like', 'you', 'deal', 'out', 'his', 'justice']	what a creatur must sit on the throne who let a man like you deal out his justic	3
What a dump .	['what', 'a', 'dump']	['what', 'a', 'dump']	what a dump	3
What a gruesome proof of the power of the press .	['what', 'a', 'gruesom', 'proof', 'of', 'the', 'power', 'of', 'the', 'press']	['what', 'a', 'gruesome', 'proof', 'of', 'the', 'power', 'of', 'the', 'press']	what a gruesom proof of the power of the press	3
What a mess .	['what', 'a', 'mess']	['what', 'a', 'mess']	what a mess	3
What a nasty man .	['what', 'a', 'nasti', 'man']	['what', 'a', 'nasty', 'man']	what a nasti man	3
What a shithole .	['what', 'a', 'shithol']	['what', 'a', 'shithole']	what a shithol	3
What are you doing with that piece of sheep dip ?	['what', 'are', 'you', 'do', 'with', 'that', 'piec', 'of', 'sheep', 'dip']	['what', 'are', 'you', 'doing', 'with', 'that', 'piece', 'of', 'sheep', 'dip']	what are you do with that piec of sheep dip	3
What are you good for ?	['what', 'are', 'you', 'good', 'for']	['what', 'are', 'you', 'good', 'for']	what are you good for	3
What are you guys , a bunch of cripples ?	['what', 'are', 'you', 'guy', 'a', 'bunch', 'of', 'crippl']	['what', 'are', 'you', 'guys', 'a', 'bunch', 'of', 'cripples']	what are you guy a bunch of crippl	3
What can you do ?	['what', 'can', 'you', 'do']	['what', 'can', 'you', 'do']	what can you do	3
What can you expect from filthy little heathens ?	['what', 'can', 'you', 'expect', 'from', 'filthi', 'littl', 'heathen']	['what', 'can', 'you', 'expect', 'from', 'filthy', 'little', 'heathens']	what can you expect from filthi littl heathen	3
What did you say , you bow - tied freak ?	['what', 'did', 'you', 'say', 'you', 'bow', 'tie', 'freak']	['what', 'did', 'you', 'say', 'you', 'bow', 'tied', 'freak']	what did you say you bow tie freak	3
What difference does it make whether I'm enjoying myself or not ?	['what', 'differ', 'doe', 'it', 'make', 'whether', 'im', 'enjoy', 'myself', 'or', 'not']	['what', 'difference', 'does', 'it', 'make', 'whether', 'im', 'enjoying', 'myself', 'or', 'not']	what differ doe it make whether im enjoy myself or not	3
What do you dream about ?	['what', 'do', 'you', 'dream', 'about']	['what', 'do', 'you', 'dream', 'about']	what do you dream about	3
What do you think of a man who's unfaithful to his wife ?	['what', 'do', 'you', 'think', 'of', 'a', 'man', 'whos', 'unfaith', 'to', 'his', 'wife']	['what', 'do', 'you', 'think', 'of', 'a', 'man', 'whos', 'unfaithful', 'to', 'his', 'wife']	what do you think of a man whos unfaith to his wife	3
What goes on ?	['what', 'goe', 'on']	['what', 'goes', 'on']	what goe on	3
What goes through your mind comes out of your mouth .	['what', 'goe', 'through', 'your', 'mind', 'come', 'out', 'of', 'your', 'mouth']	['what', 'goes', 'through', 'your', 'mind', 'comes', 'out', 'of', 'your', 'mouth']	what goe through your mind come out of your mouth	3
What good is it to cut off your heads ?	['what', 'good', 'is', 'it', 'to', 'cut', 'off', 'your', 'head']	['what', 'good', 'is', 'it', 'to', 'cut', 'off', 'your', 'heads']	what good is it to cut off your head	3
What have you been drinking ?	['what', 'have', 'you', 'been', 'drink']	['what', 'have', 'you', 'been', 'drinking']	what have you been drink	3
What he would do one day , he would gladly undo the next .	['what', 'he', 'would', 'do', 'one', 'day', 'he', 'would', 'glad', 'undo', 'the', 'next']	['what', 'he', 'would', 'do', 'one', 'day', 'he', 'would', 'gladly', 'undo', 'the', 'next']	what he would do one day he would glad undo the next	3
What horror !	['what', 'horror']	['what', 'horror']	what horror	3, 4
What I wonder is if you were wearing this when you were banging [PERSON] .	['what', 'i', 'wonder', 'is', 'if', 'you', 'were', 'wear', 'this', 'when', 'you', 'were', 'bang', 'person']	['what', 'i', 'wonder', 'is', 'if', 'you', 'were', 'wearing', 'this', 'when', 'you', 'were', 'banging', 'person']	what i wonder is if you were wear this when you were bang person	3
What I would like is for you to get down .	['what', 'i', 'would', 'like', 'is', 'for', 'you', 'to', 'get', 'down']	['what', 'i', 'would', 'like', 'is', 'for', 'you', 'to', 'get', 'down']	what i would like is for you to get down	3
What if the Russians were raping your sister ?	['what', 'if', 'the', 'russian', 'were', 'rape', 'your', 'sister']	['what', 'if', 'the', 'russians', 'were', 'raping', 'your', 'sister']	what if the russian were rape your sister	3
What is it now ?	['what', 'is', 'it', 'now']	['what', 'is', 'it', 'now']	what is it now	3
What is it with you boys and your war toys ?	['what', 'is', 'it', 'with', 'you', 'boy', 'and', 'your', 'war', 'toy']	['what', 'is', 'it', 'with', 'you', 'boys', 'and', 'your', 'war', 'toys']	what is it with you boy and your war toy	3
What is not going to be easy ?	['what', 'is', 'not', 'go', 'to', 'be', 'easi']	['what', 'is', 'not', 'going', 'to', 'be', 'easy']	what is not go to be easi	3, 6, 7
What is this guy , nice or something ?	['what', 'is', 'this', 'guy', 'nice', 'or', 'someth']	['what', 'is', 'this', 'guy', 'nice', 'or', 'something']	what is this guy nice or someth	3
What kind of a father are you , anyway ?	['what', 'kind', 'of', 'a', 'father', 'are', 'you', 'anyway']	['what', 'kind', 'of', 'a', 'father', 'are', 'you', 'anyway']	what kind of a father are you anyway	3
What kind of a system is this ? Can you move these cars out of here ?	['what', 'kind', 'of', 'a', 'system', 'is', 'this', 'can', 'you', 'move', 'these', 'car', 'out', 'of', 'here']	['what', 'kind', 'of', 'a', 'system', 'is', 'this', 'can', 'you', 'move', 'these', 'cars', 'out', 'of', 'here']	what kind of a system is this can you move these car out of here	3
What makes you so cheap ?	['what', 'make', 'you', 'so', 'cheap']	['what', 'makes', 'you', 'so', 'cheap']	what make you so cheap	3
What should we do , moron ?	['what', 'should', 'we', 'do', 'moron']	['what', 'should', 'we', 'do', 'moron']	what should we do moron	3
What sucker would buy the Chiefs ?	['what', 'sucker', 'would', 'buy', 'the', 'chief']	['what', 'sucker', 'would', 'buy', 'the', 'chiefs']	what sucker would buy the chief	3
What the fuck are you doing now , man ?	['what', 'the', 'fuck', 'are', 'you', 'do', 'now', 'man']	['what', 'the', 'fuck', 'are', 'you', 'doing', 'now', 'man']	what the fuck are you do now man	3
What the fuck are you eating ?	['what', 'the', 'fuck', 'are', 'you', 'eat']	['what', 'the', 'fuck', 'are', 'you', 'eating']	what the fuck are you eat	3
What they've done is they formed this alliance among themselves , of the industry that makes money by building war machines .	['what', 'theyv', 'done', 'is', 'they', 'form', 'this', 'allianc', 'among', 'themselv', 'of', 'the', 'industri', 'that', 'make', 'money', 'by', 'build', 'war', 'machin']	['what', 'theyve', 'done', 'is', 'they', 'formed', 'this', 'alliance', 'among', 'themselves', 'of', 'the', 'industry', 'that', 'makes', 'money', 'by', 'building', 'war', 'machines']	what theyv done is they form this allianc among themselv of the industri that make money by build war machin	3
What use is courage if you have no head ?	['what', 'use', 'is', 'courag', 'if', 'you', 'have', 'no', 'head']	['what', 'use', 'is', 'courage', 'if', 'you', 'have', 'no', 'head']	what use is courag if you have no head	3
What will I tell you ? That he is handsome and tall , and good and kind , and proud and so on ?	['what', 'will', 'i', 'tell', 'you', 'that', 'he', 'is', 'handsom', 'and', 'tall', 'and', 'good', 'and', 'kind', 'and', 'proud', 'and', 'so', 'on']	['what', 'will', 'i', 'tell', 'you', 'that', 'he', 'is', 'handsome', 'and', 'tall', 'and', 'good', 'and', 'kind', 'and', 'proud', 'and', 'so', 'on']	what will i tell you that he is handsom and tall and good and kind and proud and so on	3
What you want ?	['what', 'you', 'want']	['what', 'you', 'want']	what you want	3
What's the vulture doing ?	['what', 'the', 'vultur', 'do']	['whats', 'the', 'vulture', 'doing']	what the vultur do	3
What's this mess ?	['what', 'this', 'mess']	['whats', 'this', 'mess']	what this mess	3
What's your problem , jerk off ?	['what', 'your', 'problem', 'jerk', 'off']	['whats', 'your', 'problem', 'jerk', 'off']	what your problem jerk off	3
When do we leave ?	['when', 'do', 'we', 'leav']	['when', 'do', 'we', 'leave']	when do we leav	3, 7
When [PERSON] doesn't get his laundry , disaster !	['when', 'person', 'doesnt', 'get', 'his', 'laundri', 'disast']	['when', 'person', 'doesnt', 'get', 'his', 'laundry', 'disaster']	when person doesnt get his laundri disast	3
When I think yours has given you , Village ... as a vulgar , without dowry .	['when', 'i', 'think', 'your', 'has', 'given', 'you', 'villag', 'as', 'a', 'vulgar', 'without', 'dowri']	['when', 'i', 'think', 'yours', 'has', 'given', 'you', 'village', 'as', 'a', 'vulgar', 'without', 'dowry']	when i think your has given you villag as a vulgar without dowri	3
When I'm and you're still the way you are ?	['when', 'im', 'and', 'your', 'still', 'the', 'way', 'you', 'are']	['when', 'im', 'and', 'youre', 'still', 'the', 'way', 'you', 'are']	when im and your still the way you are	3
When neighbors call -- Not that they do call ... I see them sniffing ... sniffing .	['when', 'neighbor', 'call', 'not', 'that', 'they', 'do', 'call', 'i', 'see', 'them', 'snif', 'snif']	['when', 'neighbors', 'call', 'not', 'that', 'they', 'do', 'call', 'i', 'see', 'them', 'sniffing', 'sniffing']	when neighbor call not that they do call i see them snif snif	3
When the country needs men who have courage like never before , he's just gonna decorate a chair and get himself honoured .	['when', 'the', 'countri', 'need', 'men', 'who', 'have', 'courag', 'like', 'never', 'befor', 'hes', 'just', 'gonna', 'decor', 'a', 'chair', 'and', 'get', 'himself', 'honour']	['when', 'the', 'country', 'needs', 'men', 'who', 'have', 'courage', 'like', 'never', 'before', 'hes', 'just', 'gonna', 'decorate', 'a', 'chair', 'and', 'get', 'himself', 'honoured']	when the countri need men who have courag like never befor hes just gonna decor a chair and get himself honour	3
when you want to kill something .  	['when', 'you', 'want', 'to', 'kill', 'someth']	['when', 'you', 'want', 'to', 'kill', 'something']	when you want to kill someth	3
Where do they get this crap ?	['where', 'do', 'they', 'get', 'this', 'crap']	['where', 'do', 'they', 'get', 'this', 'crap']	where do they get this crap	3
Where is your courage , Comrade [PERSON] ?	['where', 'is', 'your', 'courag', 'comrad', 'person']	['where', 'is', 'your', 'courage', 'comrade', 'person']	where is your courag comrad person	3
Where's the bastard that runs this shithole ?	['where', 'the', 'bastard', 'that', 'run', 'this', 'shithol']	['wheres', 'the', 'bastard', 'that', 'runs', 'this', 'shithole']	where the bastard that run this shithol	3
Wherever you got that specimen from , Doctor ... You sent it to the chemist ... While you were secretly communicating with Mr. [PERSON] ...	['wherev', 'you', 'got', 'that', 'specimen', 'from', 'doctor', 'you', 'sent', 'it', 'to', 'the', 'chemist', 'while', 'you', 'were', 'secret', 'communic', 'with', 'mr', 'person']	['wherever', 'you', 'got', 'that', 'specimen', 'from', 'doctor', 'you', 'sent', 'it', 'to', 'the', 'chemist', 'while', 'you', 'were', 'secretly', 'communicating', 'with', 'mr', 'person']	wherev you got that specimen from doctor you sent it to the chemist while you were secret communic with mr person	3
Which I will never understand .	['which', 'i', 'will', 'never', 'understand']	['which', 'i', 'will', 'never', 'understand']	which i will never understand	3
Which one of you killed my dog ?	['which', 'one', 'of', 'you', 'kill', 'my', 'dog']	['which', 'one', 'of', 'you', 'killed', 'my', 'dog']	which one of you kill my dog	3
While violence cloaks itself in a plethora of disguises , its favorite mantle still remains sex .	['while', 'violenc', 'cloak', 'itself', 'in', 'a', 'plethora', 'of', 'disguis', 'it', 'favorit', 'mantl', 'still', 'remain', 'sex']	['while', 'violence', 'cloaks', 'itself', 'in', 'a', 'plethora', 'of', 'disguises', 'its', 'favorite', 'mantle', 'still', 'remains', 'sex']	while violenc cloak itself in a plethora of disguis it favorit mantl still remain sex	3
While you were being a pawn in capitalistic society ,	['while', 'you', 'were', 'be', 'a', 'pawn', 'in', 'capitalist', 'societi']	['while', 'you', 'were', 'being', 'a', 'pawn', 'in', 'capitalistic', 'society']	while you were be a pawn in capitalist societi	3
Who are you putting on ? - [PERSON] . Selling pencils at the [LOCATION] .	['who', 'are', 'you', 'put', 'on', 'person', 'sell', 'pencil', 'at', 'the', 'locat']	['who', 'are', 'you', 'putting', 'on', 'person', 'selling', 'pencils', 'at', 'the', 'location']	who are you put on person sell pencil at the locat	3
Who are you to dictate the terms ?	['who', 'are', 'you', 'to', 'dictat', 'the', 'term']	['who', 'are', 'you', 'to', 'dictate', 'the', 'terms']	who are you to dictat the term	3
Who bow and smile and scrape and spend their nights gnawing the chairs and floors out from under us all .	['who', 'bow', 'and', 'smile', 'and', 'scrape', 'and', 'spend', 'their', 'night', 'gnaw', 'the', 'chair', 'and', 'floor', 'out', 'from', 'under', 'us', 'all']	['who', 'bow', 'and', 'smile', 'and', 'scrape', 'and', 'spend', 'their', 'nights', 'gnawing', 'the', 'chairs', 'and', 'floors', 'out', 'from', 'under', 'us', 'all']	who bow and smile and scrape and spend their night gnaw the chair and floor out from under us all	3
Who else worries about another male like that except a [GAY SLUR] ?	['who', 'els', 'worri', 'about', 'anoth', 'male', 'like', 'that', 'except', 'a', 'gay', 'slur']	['who', 'else', 'worries', 'about', 'another', 'male', 'like', 'that', 'except', 'a', 'gay', 'slur']	who els worri about anoth male like that except a gay slur	3
Who says ?	['who', 'say']	['who', 'says']	who say	3
Who told you to step up on my sneakers ?	['who', 'told', 'you', 'to', 'step', 'up', 'on', 'my', 'sneaker']	['who', 'told', 'you', 'to', 'step', 'up', 'on', 'my', 'sneakers']	who told you to step up on my sneaker	3
Who would want to live in a graveyard ?	['who', 'would', 'want', 'to', 'live', 'in', 'a', 'graveyard']	['who', 'would', 'want', 'to', 'live', 'in', 'a', 'graveyard']	who would want to live in a graveyard	3, 7
Who , in your high school , has become homosexual or is deep into drugs ?	['who', 'in', 'your', 'high', 'school', 'has', 'becom', 'homosexu', 'or', 'is', 'deep', 'into', 'drug']	['who', 'in', 'your', 'high', 'school', 'has', 'become', 'homosexual', 'or', 'is', 'deep', 'into', 'drugs']	who in your high school has becom homosexu or is deep into drug	3
Who's afraid of a little booger ?	['whos', 'afraid', 'of', 'a', 'littl', 'booger']	['whos', 'afraid', 'of', 'a', 'little', 'booger']	whos afraid of a littl booger	3
Who's got time to wonder what happened to some ridiculous talking mice when you're driving by at 75 , miles an hour ?	['whos', 'got', 'time', 'to', 'wonder', 'what', 'happen', 'to', 'some', 'ridicul', 'talk', 'mice', 'when', 'your', 'drive', 'by', 'at', 'mile', 'an', 'hour']	['whos', 'got', 'time', 'to', 'wonder', 'what', 'happened', 'to', 'some', 'ridiculous', 'talking', 'mice', 'when', 'youre', 'driving', 'by', 'at', 'miles', 'an', 'hour']	whos got time to wonder what happen to some ridicul talk mice when your drive by at mile an hour	3
Who's talking about cowardice ?	['whos', 'talk', 'about', 'cowardic']	['whos', 'talking', 'about', 'cowardice']	whos talk about cowardic	3
Why are you smiling , you silly bastard ?	['whi', 'are', 'you', 'smile', 'you', 'silli', 'bastard']	['why', 'are', 'you', 'smiling', 'you', 'silly', 'bastard']	whi are you smile you silli bastard	3
Why did I ever trust you ?	['whi', 'did', 'i', 'ever', 'trust', 'you']	['why', 'did', 'i', 'ever', 'trust', 'you']	whi did i ever trust you	3
Why did you have to sit there listening to him ?	['whi', 'did', 'you', 'have', 'to', 'sit', 'there', 'listen', 'to', 'him']	['why', 'did', 'you', 'have', 'to', 'sit', 'there', 'listening', 'to', 'him']	whi did you have to sit there listen to him	3
Why did you lie to me ?	['whi', 'did', 'you', 'lie', 'to', 'me']	['why', 'did', 'you', 'lie', 'to', 'me']	whi did you lie to me	3
Why do guys always know how to hit a woman right across the cheek , wham , and it feels like your eye is going to explode ?	['whi', 'do', 'guy', 'alway', 'know', 'how', 'to', 'hit', 'a', 'woman', 'right', 'across', 'the', 'cheek', 'wham', 'and', 'it', 'feel', 'like', 'your', 'eye', 'is', 'go', 'to', 'explod']	['why', 'do', 'guys', 'always', 'know', 'how', 'to', 'hit', 'a', 'woman', 'right', 'across', 'the', 'cheek', 'wham', 'and', 'it', 'feels', 'like', 'your', 'eye', 'is', 'going', 'to', 'explode']	whi do guy alway know how to hit a woman right across the cheek wham and it feel like your eye is go to explod	3, 6
Why do we kill people who kill people to show that killing is wrong ?	['whi', 'do', 'we', 'kill', 'peopl', 'who', 'kill', 'peopl', 'to', 'show', 'that', 'kill', 'is', 'wrong']	['why', 'do', 'we', 'kill', 'people', 'who', 'kill', 'people', 'to', 'show', 'that', 'killing', 'is', 'wrong']	whi do we kill peopl who kill peopl to show that kill is wrong	3
Why do you wear that rug ?	['whi', 'do', 'you', 'wear', 'that', 'rug']	['why', 'do', 'you', 'wear', 'that', 'rug']	whi do you wear that rug	3
Why does a solid businessman like you want to get into pornography ?	['whi', 'doe', 'a', 'solid', 'businessman', 'like', 'you', 'want', 'to', 'get', 'into', 'pornographi']	['why', 'does', 'a', 'solid', 'businessman', 'like', 'you', 'want', 'to', 'get', 'into', 'pornography']	whi doe a solid businessman like you want to get into pornographi	3
Why don't you do your sorry ass a favor ?	['whi', 'dont', 'you', 'do', 'your', 'sorri', 'ass', 'a', 'favor']	['why', 'dont', 'you', 'do', 'your', 'sorry', 'ass', 'a', 'favor']	whi dont you do your sorri ass a favor	3
Why don't you get a fucking job , man ?	['whi', 'dont', 'you', 'get', 'a', 'fuck', 'job', 'man']	['why', 'dont', 'you', 'get', 'a', 'fucking', 'job', 'man']	whi dont you get a fuck job man	3
Why don't you get a fucking life ?	['whi', 'dont', 'you', 'get', 'a', 'fuck', 'life']	['why', 'dont', 'you', 'get', 'a', 'fucking', 'life']	whi dont you get a fuck life	3
Why don't you go back and play hero in your own world , Earthling ?	['whi', 'dont', 'you', 'go', 'back', 'and', 'play', 'hero', 'in', 'your', 'own', 'world', 'earthl']	['why', 'dont', 'you', 'go', 'back', 'and', 'play', 'hero', 'in', 'your', 'own', 'world', 'earthling']	whi dont you go back and play hero in your own world earthl	3
Why don't you stay where you belong , in yo - yo land ?	['whi', 'dont', 'you', 'stay', 'where', 'you', 'belong', 'in', 'yo', 'yo', 'land']	['why', 'dont', 'you', 'stay', 'where', 'you', 'belong', 'in', 'yo', 'yo', 'land']	whi dont you stay where you belong in yo yo land	3
Why don't you take a look at this adoption literature ?	['whi', 'dont', 'you', 'take', 'a', 'look', 'at', 'this', 'adopt', 'literatur']	['why', 'dont', 'you', 'take', 'a', 'look', 'at', 'this', 'adoption', 'literature']	whi dont you take a look at this adopt literatur	3
Why don't you tell the truth for once ?	['whi', 'dont', 'you', 'tell', 'the', 'truth', 'for', 'onc']	['why', 'dont', 'you', 'tell', 'the', 'truth', 'for', 'once']	whi dont you tell the truth for onc	3
Why have you come back when nobody wants to see you ?	['whi', 'have', 'you', 'come', 'back', 'when', 'nobodi', 'want', 'to', 'see', 'you']	['why', 'have', 'you', 'come', 'back', 'when', 'nobody', 'wants', 'to', 'see', 'you']	whi have you come back when nobodi want to see you	3
Why not throw some empathy my way ?	['whi', 'not', 'throw', 'some', 'empathi', 'my', 'way']	['why', 'not', 'throw', 'some', 'empathy', 'my', 'way']	whi not throw some empathi my way	3
Why were you hiding the evidence ?	['whi', 'were', 'you', 'hide', 'the', 'evid']	['why', 'were', 'you', 'hiding', 'the', 'evidence']	whi were you hide the evid	3
Why , [PERSON] , what a thing to say !	['whi', 'person', 'what', 'a', 'thing', 'to', 'say']	['why', 'person', 'what', 'a', 'thing', 'to', 'say']	whi person what a thing to say	3
Will you tell me what awful thing I did to you when you were a child ?	['will', 'you', 'tell', 'me', 'what', 'aw', 'thing', 'i', 'did', 'to', 'you', 'when', 'you', 'were', 'a', 'child']	['will', 'you', 'tell', 'me', 'what', 'awful', 'thing', 'i', 'did', 'to', 'you', 'when', 'you', 'were', 'a', 'child']	will you tell me what aw thing i did to you when you were a child	3, 6
[PERSON] dam is a fraud .	['person', 'dam', 'is', 'a', 'fraud']	['person', 'dam', 'is', 'a', 'fraud']	person dam is a fraud	3
Wipe first your chin , drunkard , and then the table !	['wipe', 'first', 'your', 'chin', 'drunkard', 'and', 'then', 'the', 'tabl']	['wipe', 'first', 'your', 'chin', 'drunkard', 'and', 'then', 'the', 'table']	wipe first your chin drunkard and then the tabl	3
Wipe that fucking smile off your face !	['wipe', 'that', 'fuck', 'smile', 'off', 'your', 'face']	['wipe', 'that', 'fucking', 'smile', 'off', 'your', 'face']	wipe that fuck smile off your face	3
With her bare hands , she just chopped him down !	['with', 'her', 'bare', 'hand', 'she', 'just', 'chop', 'him', 'down']	['with', 'her', 'bare', 'hands', 'she', 'just', 'chopped', 'him', 'down']	with her bare hand she just chop him down	3, 7
With my hand out , not in million years .	['with', 'my', 'hand', 'out', 'not', 'in', 'million', 'year']	['with', 'my', 'hand', 'out', 'not', 'in', 'million', 'years']	with my hand out not in million year	3
With the speechwriting , I don't want to do it anymore .	['with', 'the', 'speechwrit', 'i', 'dont', 'want', 'to', 'do', 'it', 'anymor']	['with', 'the', 'speechwriting', 'i', 'dont', 'want', 'to', 'do', 'it', 'anymore']	with the speechwrit i dont want to do it anymor	3
