text	tokenized	preprocessed	label
Frankly , I don't recall a time when a witness has refused to testify in this fashion .	['frankly', 'dont', 'recall', 'time', 'witness', 'refused', 'testify', 'fashion']	frankly dont recall time witness refused testify fashion	7
Not me .	[]		8
It's home .	['home']	home	5
Pretty , huh . But I'm perfect .	['pretty', 'huh', 'im', 'perfect']	pretty huh im perfect	5
You should be back in [LOCATION] on time .	['back', 'location', 'time']	back location time	2
Get a doctor at once !	['get', 'doctor']	get doctor	4
Well , I can tell you some stories .	['well', 'tell', 'stories']	well tell stories	2
We'll catch 'em sooner or later .	['well', 'catch', 'em', 'sooner', 'later']	well catch em sooner later	1
Well , Lieutenant , how are you ?	['well', 'lieutenant']	well lieutenant	2, 5
Where are we going ?	['going']	going	2
We'll be getting into [LOCATION] tonight .	['well', 'getting', 'location', 'tonight']	well getting location tonight	2
She kissed you ?	['kissed']	kissed	7
Get her .	['get']	get	1
I can raise my voice in my own home .	['raise', 'voice', 'home']	raise voice home	1
This asshole from the coroner's wants her on two stretchers .	['asshole', 'coroners', 'wants', 'two', 'stretchers']	asshole coroners wants two stretchers	3
Doctor , X-58 , seems to be a success .	['doctor', 'x58', 'seems', 'success']	doctor x58 seems success	5
Just get out .	['get']	get	1
All we got ta do is get the keys !	['got', 'ta', 'get', 'keys']	got ta get keys	2
Underwater ?	['underwater']	underwater	7
I'd like you to have this .	['id', 'like']	id like	8
Well , young man , you seem to be enjoying yourself .	['well', 'young', 'man', 'seem', 'enjoying']	well young man seem enjoying	5
My stools were a little loose .	['stools', 'little', 'loose']	stools little loose	4
That's my secret .	['thats', 'secret']	thats secret	2
Yeah , well , he's busy , you know . I didn't want to make waves .	['yeah', 'well', 'hes', 'busy', 'know', 'didnt', 'want', 'make', 'waves']	yeah well hes busy know didnt want make waves	8
And it changes because the people at the top forget how they got there .	['changes', 'people', 'top', 'forget', 'got']	changes people top forget got	1, 3
It isn't that . It's what [PERSON] said .	['isnt', 'person', 'said']	isnt person said	6, 7
Come here , you lazy , no - good son of mine !	['come', 'lazy', 'good', 'son', 'mine']	come lazy good son mine	3
Go get them and get them quick !	['go', 'get', 'get', 'quick']	go get get quick	4
Who ordered this ? - The gentleman did .	['ordered', 'gentleman']	ordered gentleman	7
He looks like a bronzed Apollo .	['looks', 'like', 'bronzed', 'apollo']	looks like bronzed apollo	5
Guess what his name is the captain ?	['guess', 'name', 'captain']	guess name captain	7
Buy me a dinner tonight ?	['buy', 'dinner', 'tonight']	buy dinner tonight	2
OK , buddy , this is your big moment .	['ok', 'buddy', 'big', 'moment']	ok buddy big moment	2
One of my biggest disappointments over the last years is those who lack the courage of their convictions .	['one', 'biggest', 'disappointments', 'last', 'years', 'lack', 'courage', 'convictions']	one biggest disappointments last years lack courage convictions	1, 3, 6, 7
Uh , people will get hurt .	['uh', 'people', 'get', 'hurt']	uh people get hurt	4, 6
Your hair looks nice today .	['hair', 'looks', 'nice', 'today']	hair looks nice today	5
You know , [PERSON] , it always distresses me , a man like Shooter here ... reaching his middle years and still having no assurance ... of next week's income .	['know', 'person', 'always', 'distresses', 'man', 'like', 'shooter', 'reaching', 'middle', 'years', 'still', 'assurance', 'next', 'weeks', 'income']	know person always distresses man like shooter reaching middle years still assurance next weeks income	3, 4, 6, 7
It's everything we ever wanted to know about [LOCATION] and were afraid to ask .	['everything', 'ever', 'wanted', 'know', 'location', 'afraid', 'ask']	everything ever wanted know location afraid ask	8, 5
You're going to the police ?	['youre', 'going', 'police']	youre going police	7
I think sister [PERSON] would be much better at it than me .	['think', 'sister', 'person', 'would', 'much', 'better']	think sister person would much better	4, 5
You don't like me very much , do you ?	['dont', 'like', 'much']	dont like much	6
That was some road trip .	['road', 'trip']	road trip	7
Somebody , help us .	['somebody', 'help', 'us']	somebody help us	4
I got my coat back !	['got', 'coat', 'back']	got coat back	5
[LOCATION] is not gonna have a baby .	['location', 'gonna', 'baby']	location gonna baby	6
I like your bat .	['like', 'bat']	like bat	5
Explains even more .	['explains', 'even']	explains even	5
This is very big , you talk only to me .	['big', 'talk']	big talk	5, 7
I most certainly do love her .	['certainly', 'love']	certainly love	5
Go get him , Dad !	['go', 'get', 'dad']	go get dad	2, 5
Oh , Shooter ... tell me ... is this young man of yours gonna give me any trouble ?	['oh', 'shooter', 'tell', 'young', 'man', 'gonna', 'give', 'trouble']	oh shooter tell young man gonna give trouble	3
If that's what the grown - ups have done with this world , we have to start those boys ' camps and see what the kids can do .	['thats', 'grown', 'ups', 'done', 'world', 'start', 'boys', 'camps', 'see', 'kids']	thats grown ups done world start boys camps see kids	6
Give me the lighter .	['give', 'lighter']	give lighter	1
Why would they change it now ?	['would', 'change']	would change	7
We'll keep her here , won't we ?	['well', 'keep', 'wont']	well keep wont	2
Everyone wanted to do the oral argument , that's always kind of the cherry on top of the ice cream there .	['everyone', 'wanted', 'oral', 'argument', 'thats', 'always', 'kind', 'cherry', 'top', 'ice', 'cream']	everyone wanted oral argument thats always kind cherry top ice cream	5, 7
I and [PERSON] we were already , and I would not believe so fast in someone I eat in him . I am not wrong , he has something in the sleeve .	['person', 'already', 'would', 'believe', 'fast', 'someone', 'eat', 'wrong', 'something', 'sleeve']	person already would believe fast someone eat wrong something sleeve	7
We should get one of those , honey .	['get', 'one', 'honey']	get one honey	2
Yes , I want you must call the My husband's family .	['yes', 'want', 'must', 'call', 'husbands', 'family']	yes want must call husbands family	1, 5
You're here to repent your sins , is it ?	['youre', 'repent', 'sins']	youre repent sins	1
My new car !	['new', 'car']	new car	6, 7
Can't do what ?	['cant']	cant	1
I never want to see one in Whitehall again !	['never', 'want', 'see', 'one', 'whitehall']	never want see one whitehall	1
It's a shark !	['shark']	shark	4
But he became such a damn pest that I left [LOCATION] .	['became', 'damn', 'pest', 'left', 'location']	became damn pest left location	3
An enemy had saved my life by the violent murder of one of my best friends .	['enemy', 'saved', 'life', 'violent', 'murder', 'one', 'best', 'friends']	enemy saved life violent murder one best friends	4
So we'll go to the [LOCATION] .	['well', 'go', 'location']	well go location	2
They saw everything .	['saw', 'everything']	saw everything	4
Where's the woman ? She's on the train .	['wheres', 'woman', 'shes', 'train']	wheres woman shes train	2
Oh , my !	['oh']	oh	7
He's mad . It was an accident .	['hes', 'mad', 'accident']	hes mad accident	1, 4, 6, 7
please don't let them take me !	['please', 'dont', 'let', 'take']	please dont let take	4
I'm gonna take another picture .	['im', 'gonna', 'take', 'another', 'picture']	im gonna take another picture	2
Of course , sir .	['course', 'sir']	course sir	8
People who don't pay up end with their knees nailed to the floor .	['people', 'dont', 'pay', 'end', 'knees', 'nailed', 'floor']	people dont pay end knees nailed floor	3
You think you know something about law .	['think', 'know', 'something', 'law']	think know something law	3
You sure are pretty .	['sure', 'pretty']	sure pretty	5
You got ta go see him .	['got', 'ta', 'go', 'see']	got ta go see	2, 6
You like fishing ?	['like', 'fishing']	like fishing	2
Just get the head .	['get', 'head']	get head	2, 3
It's urgent !	['urgent']	urgent	4
Well , this misery in my back ... ain't so good .	['well', 'misery', 'back', 'aint', 'good']	well misery back aint good	6
Have a nice day at the office , honey .	['nice', 'day', 'office', 'honey']	nice day office honey	8, 5
I'm pleased that we're having this closed executive session .	['im', 'pleased', 'closed', 'executive', 'session']	im pleased closed executive session	5
He's such a liar .	['hes', 'liar']	hes liar	3
But you have to make a change to your life , put in some effort .	['make', 'change', 'life', 'put', 'effort']	make change life put effort	6, 7
Why don't you sit down and have something to eat ?	['dont', 'sit', 'something', 'eat']	dont sit something eat	8
And if you don't take me to my hotel , that means I have to walk .	['dont', 'take', 'hotel', 'means', 'walk']	dont take hotel means walk	1, 6
Why do you want to make yourself a slave to this dull business , when you could be on a lovely yacht , with a lovely man , visiting the Greek islands , seeing all the world ?	['want', 'make', 'slave', 'dull', 'business', 'could', 'lovely', 'yacht', 'lovely', 'man', 'visiting', 'greek', 'islands', 'seeing', 'world']	want make slave dull business could lovely yacht lovely man visiting greek islands seeing world	7
And I don't need you to drop your suit because you have no case .	['dont', 'need', 'drop', 'suit', 'case']	dont need drop suit case	3
Anyway you can't go to the hospital .	['anyway', 'cant', 'go', 'hospital']	anyway cant go hospital	6, 7
Would you like me to go back and get [PERSON] out ?	['would', 'like', 'go', 'back', 'get', 'person']	would like go back get person	7
Not a victim , [PERSON] -- a target , like you .	['victim', 'person', 'target', 'like']	victim person target like	4
I'll be assisting you through the entire process .	['ill', 'assisting', 'entire', 'process']	ill assisting entire process	8
How do you expect him to pay us ?	['expect', 'pay', 'us']	expect pay us	3
Professor , professor !	['professor', 'professor']	professor professor	2
That's how much you bother me .	['thats', 'much', 'bother']	thats much bother	1
Sal , start counting my money tonight 'cause I gots to get paid .	['sal', 'start', 'counting', 'money', 'tonight', 'cause', 'gots', 'get', 'paid']	sal start counting money tonight cause gots get paid	2
I'll be in my office if you need me .	['ill', 'office', 'need']	ill office need	8
You darling , [PERSON] !	['darling', 'person']	darling person	5
[PERSON] , aren't you going to tell him about the jewelry ?	['person', 'arent', 'going', 'tell', 'jewelry']	person arent going tell jewelry	7
Fingers crossed , [PERSON] .	['fingers', 'crossed', 'person']	fingers crossed person	8, 2, 5
Why should today be any different , you know what I mean ?	['today', 'different', 'know', 'mean']	today different know mean	7
Now , you mind if I dance with your wife ?	['mind', 'dance', 'wife']	mind dance wife	2
I hope that's not what I'm hearing .	['hope', 'thats', 'im', 'hearing']	hope thats im hearing	4
Are you ?	[]		7
If you tell anyone who is not in this room about this project , this bullet has your name on it , and it will find you .	['tell', 'anyone', 'room', 'project', 'bullet', 'name', 'find']	tell anyone room project bullet name find	1, 4
This kid's taking this too good .	['kids', 'taking', 'good']	kids taking good	7
I know . I don't want to say . I know how upset you'll be . I know how upset I was .	['know', 'dont', 'want', 'say', 'know', 'upset', 'youll', 'know', 'upset']	know dont want say know upset youll know upset	8, 4
We're fools to tolerate it .	['fools', 'tolerate']	fools tolerate	1
We'll be out of this tunnel in a minute .	['well', 'tunnel', 'minute']	well tunnel minute	2
I'll be home in a couple of hours .	['ill', 'home', 'couple', 'hours']	ill home couple hours	8
I'm in rehab ?	['im', 'rehab']	im rehab	4, 6, 7
If you don't mind , you owe me two more for tiring out my cattle .	['dont', 'mind', 'owe', 'two', 'tiring', 'cattle']	dont mind owe two tiring cattle	1
That's very rare .	['thats', 'rare']	thats rare	7
You know what's gonna happen to you if you don't surrender !	['know', 'whats', 'gonna', 'happen', 'dont', 'surrender']	know whats gonna happen dont surrender	1
I think I'm going to make tomorrow their last day on this planet .	['think', 'im', 'going', 'make', 'tomorrow', 'last', 'day', 'planet']	think im going make tomorrow last day planet	1, 5
That's - that's very kind of you . I hope that you and your wife were - were not uncomfortable .	['thats', 'thats', 'kind', 'hope', 'wife', 'uncomfortable']	thats thats kind hope wife uncomfortable	8, 2
He doesn't stand a shot in hell !	['doesnt', 'stand', 'shot', 'hell']	doesnt stand shot hell	2
Tricks ?	['tricks']	tricks	2
Can I just leave my underwear ?	['leave', 'underwear']	leave underwear	1, 2
[PERSON] drowned the day before his fourth birthday .	['person', 'drowned', 'day', 'fourth', 'birthday']	person drowned day fourth birthday	6
I rehearse my story . I try to think of all the questions they'll ask .	['rehearse', 'story', 'try', 'think', 'questions', 'theyll', 'ask']	rehearse story try think questions theyll ask	7
I'll miss you .	['ill', 'miss']	ill miss	6
Sweetheart , who was that on the phone ?	['sweetheart', 'phone']	sweetheart phone	2
They won't hurt you .	['wont', 'hurt']	wont hurt	8
Why don't you just go ?	['dont', 'go']	dont go	6, 7
Are you gonna shoot me ?	['gonna', 'shoot']	gonna shoot	4
I'm drunker than you are , so it'll be a fair fight .	['im', 'drunker', 'itll', 'fair', 'fight']	im drunker itll fair fight	1
Fine .	['fine']	fine	1, 5
Did that nickname have anything to do with the typhoon ?	['nickname', 'anything', 'typhoon']	nickname anything typhoon	1, 2
We went back to square one .	['went', 'back', 'square', 'one']	went back square one	3
We'll be home soon .	['well', 'home', 'soon']	well home soon	2
We always had a good time .	['always', 'good', 'time']	always good time	5
Because I do not like my mother .	['like', 'mother']	like mother	3
Do you have any idea when it'll be ready ?	['idea', 'itll', 'ready']	idea itll ready	2
He'll get you into more trouble .	['hell', 'get', 'trouble']	hell get trouble	1, 4
They might take us for innocent bystanders .	['might', 'take', 'us', 'innocent', 'bystanders']	might take us innocent bystanders	4
You've promised to think about it .	['youve', 'promised', 'think']	youve promised think	1, 6
And if I refuse to sign it ?	['refuse', 'sign']	refuse sign	1
If he breaks the law and it crosses this desk , he pays for it .	['breaks', 'law', 'crosses', 'desk', 'pays']	breaks law crosses desk pays	1
Soothing .	['soothing']	soothing	5
Who are you calling this late ?	['calling', 'late']	calling late	7
I'm gonna tell .	['im', 'gonna', 'tell']	im gonna tell	3
I've got to get up .	['ive', 'got', 'get']	ive got get	1
I hope I never get old and have to be in a wheelchair and have to depend on the ushers to help me out of church .	['hope', 'never', 'get', 'old', 'wheelchair', 'depend', 'ushers', 'help', 'church']	hope never get old wheelchair depend ushers help church	6
Y' all will be reading about this .	['reading']	reading	2
My thanks to you .	['thanks']	thanks	8
Look , in what I do , there are sometimes pressures .	['look', 'sometimes', 'pressures']	look sometimes pressures	4
Hey . I love you .	['hey', 'love']	hey love	8, 5
It's a whole new deal .	['whole', 'new', 'deal']	whole new deal	7
By what right do you question me ?	['right', 'question']	right question	1
It's taken a long time to get here , but we're here .	['taken', 'long', 'time', 'get']	taken long time get	2, 5
They changed it .	['changed']	changed	1, 6
And so do you consider yourself human ?	['consider', 'human']	consider human	2
And he would climb up the tower and rescue me .	['would', 'climb', 'tower', 'rescue']	would climb tower rescue	8, 5
Bye , Commander .	['bye', 'commander']	bye commander	4, 6
What's the matter , [PERSON] ?	['whats', 'matter', 'person']	whats matter person	4
Maybe you sleep together once in a while .	['maybe', 'sleep', 'together']	maybe sleep together	7
Every sucker for himself , I guess .	['every', 'sucker', 'guess']	every sucker guess	3
I do not know what to do .	['know']	know	4
What do you say , mayii ? And let me keep this soul forever ? What do you say , mayii ?	['say', 'mayii', 'let', 'keep', 'soul', 'forever', 'say', 'mayii']	say mayii let keep soul forever say mayii	2
Don't worry . I'll handle it .	['dont', 'worry', 'ill', 'handle']	dont worry ill handle	8
You sure can make with the words .	['sure', 'make', 'words']	sure make words	8
You'll sell the furniture ?	['youll', 'sell', 'furniture']	youll sell furniture	1, 7
I've got something to tell you .	['ive', 'got', 'something', 'tell']	ive got something tell	8
It has a nice little ring to it , don't you think ?	['nice', 'little', 'ring', 'dont', 'think']	nice little ring dont think	5
We live in a border state where a lot of this cross-border sex trafficking takes place .	['live', 'border', 'state', 'lot', 'crossborder', 'sex', 'trafficking', 'takes', 'place']	live border state lot crossborder sex trafficking takes place	6
Mr [PERSON] , you've really chapped my ass and I've had just about enough .	['mr', 'person', 'youve', 'really', 'chapped', 'ass', 'ive', 'enough']	mr person youve really chapped ass ive enough	3
I'm glad you came down , [PERSON] .	['im', 'glad', 'came', 'person']	im glad came person	5
It's a great philosophy .	['great', 'philosophy']	great philosophy	5
What am I , a pit stop ?	['pit', 'stop']	pit stop	1
Every day , you give this azupep a dollar for sweeping our sidewalk .	['every', 'day', 'give', 'azupep', 'dollar', 'sweeping', 'sidewalk']	every day give azupep dollar sweeping sidewalk	3
[PERSON] , there's no point in going on .	['person', 'theres', 'point', 'going']	person theres point going	6
I can't believe this . I thought you said they had nothing in the hopper .	['cant', 'believe', 'thought', 'said', 'nothing', 'hopper']	cant believe thought said nothing hopper	7
But ...	[]		2, 6
She's about eight months pregnant and , uh ...	['shes', 'eight', 'months', 'pregnant', 'uh']	shes eight months pregnant uh	4
You count good , but where's the change ?	['count', 'good', 'wheres', 'change']	count good wheres change	7
You'll never be sorry .	['youll', 'never', 'sorry']	youll never sorry	1, 6
We may have made a mistake .	['may', 'made', 'mistake']	may made mistake	4
She said she thought it was very thoughtful of me .	['said', 'thought', 'thoughtful']	said thought thoughtful	5
You hear about it on the news .	['hear', 'news']	hear news	2
[LOCATION] is up for grabs , the spoils of our once fine city going to the ruthless scum who can spread the most carnage and blood in our streets .	['location', 'grabs', 'spoils', 'fine', 'city', 'going', 'ruthless', 'scum', 'spread', 'carnage', 'blood', 'streets']	location grabs spoils fine city going ruthless scum spread carnage blood streets	1, 3
I told you not to come into the lobby .	['told', 'come', 'lobby']	told come lobby	1
Running around in that eye paint ain't gonna get you nowhere , boy .	['running', 'around', 'eye', 'paint', 'aint', 'gonna', 'get', 'nowhere', 'boy']	running around eye paint aint gonna get nowhere boy	1, 6, 7
I find your presence comforting somehow .	['find', 'presence', 'comforting', 'somehow']	find presence comforting somehow	8
You don't understand . - I do understand .	['dont', 'understand', 'understand']	dont understand understand	1
You break in here , and you tell me you think [PERSON]'s a murderer .	['break', 'tell', 'think', 'persons', 'murderer']	break tell think persons murderer	3
Then I went to the liquor store I grabbed a bottle , and I started drinking .	['went', 'liquor', 'store', 'grabbed', 'bottle', 'started', 'drinking']	went liquor store grabbed bottle started drinking	6
Well , duty calls .	['well', 'duty', 'calls']	well duty calls	2, 6
What's a girl to do when a man keeps following her around ?	['whats', 'girl', 'man', 'keeps', 'following', 'around']	whats girl man keeps following around	4
I'll see you sex fiends later .	['ill', 'see', 'sex', 'fiends', 'later']	ill see sex fiends later	2
Truth of the matter is I don't much like parties .	['truth', 'matter', 'dont', 'much', 'like', 'parties']	truth matter dont much like parties	6
I guess I'm afraid you'll find me out .	['guess', 'im', 'afraid', 'youll', 'find']	guess im afraid youll find	6
When the world is ready ... for a new and better life ... All this will someday come to pass ...	['world', 'ready', 'new', 'better', 'life', 'someday', 'come', 'pass']	world ready new better life someday come pass	2, 6
What ? They took her body .	['took', 'body']	took body	4
You know who that was , Kid ?	['know', 'kid']	know kid	8
We don't have to give you a cent .	['dont', 'give', 'cent']	dont give cent	1
C'mon ! Hurry !	['cmon', 'hurry']	cmon hurry	2, 5
Got ta duck down lower . Go under the wind , go under it !	['got', 'ta', 'duck', 'lower', 'go', 'wind', 'go']	got ta duck lower go wind go	8
[PERSON] , you are a slave as long as [PERSON] possesses you .	['person', 'slave', 'long', 'person', 'possesses']	person slave long person possesses	6
He's starting to ... He's starting to ...	['hes', 'starting', 'hes', 'starting']	hes starting hes starting	4
Turn left , you son of a bitch !	['turn', 'left', 'son', 'bitch']	turn left son bitch	1
He's given us like a second shot , right ?	['hes', 'given', 'us', 'like', 'second', 'shot', 'right']	hes given us like second shot right	2, 5
I made some dumb mistakes ...	['made', 'dumb', 'mistakes']	made dumb mistakes	3, 6
When the Vice-president calls you , I'll meet you in the centre aisle .	['vicepresident', 'calls', 'ill', 'meet', 'centre', 'aisle']	vicepresident calls ill meet centre aisle	2
Jesus .	['jesus']	jesus	1
Strange man .	['strange', 'man']	strange man	3
With you guys it's always bad timing .	['guys', 'always', 'bad', 'timing']	guys always bad timing	1, 6
Yeah , call the cops .	['yeah', 'call', 'cops']	yeah call cops	1
You even die for them .	['even', 'die']	even die	8
Keep joshing like that And you're never going to college like your sister here .	['keep', 'joshing', 'like', 'youre', 'never', 'going', 'college', 'like', 'sister']	keep joshing like youre never going college like sister	3
Behind this eloquent exterior , I've got a yellow streak miles wide .	['behind', 'eloquent', 'exterior', 'ive', 'got', 'yellow', 'streak', 'miles', 'wide']	behind eloquent exterior ive got yellow streak miles wide	6
This one's on the house . - Thanks , but ...	['ones', 'house', 'thanks']	ones house thanks	7
He'd trade his soul to the devil in return for that one moment of real happiness .	['hed', 'trade', 'soul', 'devil', 'return', 'one', 'moment', 'real', 'happiness']	hed trade soul devil return one moment real happiness	8
This will be our child .	['child']	child	2
I bought him the loveliest little sweater as a reward .	['bought', 'loveliest', 'little', 'sweater', 'reward']	bought loveliest little sweater reward	5
You've got to be realistic .	['youve', 'got', 'realistic']	youve got realistic	1
Boom .	['boom']	boom	4
And the smell -- it lingers , you know .	['smell', 'lingers', 'know']	smell lingers know	3
I don't got ta pay you for that .	['dont', 'got', 'ta', 'pay']	dont got ta pay	1
I admit nothing .	['admit', 'nothing']	admit nothing	6, 7
You didn't know that about [PERSON] , eh ?	['didnt', 'know', 'person', 'eh']	didnt know person eh	7
Miss [PERSON]'s feeling a heap better today , Mr. [PERSON] .	['miss', 'persons', 'feeling', 'heap', 'better', 'today', 'mr', 'person']	miss persons feeling heap better today mr person	5
Nobody likes a whiner .	['nobody', 'likes', 'whiner']	nobody likes whiner	3
What a mess .	['mess']	mess	3
I was too nervous .	['nervous']	nervous	4
This has been a long week , Dr. [PERSON] .	['long', 'week', 'dr', 'person']	long week dr person	6
I'm glad for the company .	['im', 'glad', 'company']	im glad company	5
It's just me .	[]		7
It's working .	['working']	working	5, 7
The most beautiful TV personality , Miss [PERSON] !	['beautiful', 'tv', 'personality', 'miss', 'person']	beautiful tv personality miss person	5
And what she did was she ... Brought her into a life of hell .	['brought', 'life', 'hell']	brought life hell	3, 6
Take it easy , I'll get you loose .	['take', 'easy', 'ill', 'get', 'loose']	take easy ill get loose	8
Oh no . Shit ! [PERSON] !	['oh', 'shit', 'person']	oh shit person	4
Back in , I thought I had it made .	['back', 'thought', 'made']	back thought made	8, 7
You don't think I can handle a twin engine at , feet , straight and level over some farm country ? I mean , come on , sir .	['dont', 'think', 'handle', 'twin', 'engine', 'feet', 'straight', 'level', 'farm', 'country', 'mean', 'come', 'sir']	dont think handle twin engine feet straight level farm country mean come sir	6
I'll take control away from him .	['ill', 'take', 'control', 'away']	ill take control away	1
It is too expensive to maintain , [PERSON] !	['expensive', 'maintain', 'person']	expensive maintain person	6, 7
No good asking you !	['good', 'asking']	good asking	1
There . Now it's perfect .	['perfect']	perfect	5
Don't lose a moment .	['dont', 'lose', 'moment']	dont lose moment	2
The fucker was holdin' on till he could scrounge a job .	['fucker', 'holdin', 'till', 'could', 'scrounge', 'job']	fucker holdin till could scrounge job	3
A wonderful day , I think .	['wonderful', 'day', 'think']	wonderful day think	5
First they denied , and then they equivocated ...	['first', 'denied', 'equivocated']	first denied equivocated	3
I never wrote it .	['never', 'wrote']	never wrote	6, 7
No more of such talk , do you hear ?	['talk', 'hear']	talk hear	1
There's no way to make this easy , [PERSON] .	['theres', 'way', 'make', 'easy', 'person']	theres way make easy person	4
Did you like Captain [PERSON] ?	['like', 'captain', 'person']	like captain person	2
He'll kill me if he has to .	['hell', 'kill']	hell kill	4
They're doing the catering and making rather a horrid mess of it .	['theyre', 'catering', 'making', 'rather', 'horrid', 'mess']	theyre catering making rather horrid mess	3
Let's belly up to the bar and get us some refreshment .	['lets', 'belly', 'bar', 'get', 'us', 'refreshment']	lets belly bar get us refreshment	2
I don't want my picture taken .	['dont', 'want', 'picture', 'taken']	dont want picture taken	1
I'm gonna do it again .	['im', 'gonna']	im gonna	8
But the team comes first .	['team', 'comes', 'first']	team comes first	2
My sweetheart gave it to me .	['sweetheart', 'gave']	sweetheart gave	5
You need a Puerto Rican skag peddler ?	['need', 'puerto', 'rican', 'skag', 'peddler']	need puerto rican skag peddler	2
We're counting on you .	['counting']	counting	8
[PERSON] speaking .	['person', 'speaking']	person speaking	2
I'm your worst nightmare .	['im', 'worst', 'nightmare']	im worst nightmare	1, 2
You must come from the Stone Age .	['must', 'come', 'stone', 'age']	must come stone age	3
Mr. [PERSON] , you wan na join the party ?	['mr', 'person', 'wan', 'na', 'join', 'party']	mr person wan na join party	2
I'm gonna kill them .	['im', 'gonna', 'kill']	im gonna kill	1
You don't seem the least bit worried about the pending charges against your secretary .	['dont', 'seem', 'least', 'bit', 'worried', 'pending', 'charges', 'secretary']	dont seem least bit worried pending charges secretary	7
Double or nothing .	['double', 'nothing']	double nothing	2
You got a badge and a gun but you're still a punk so shut up - - [PERSON] , please !	['got', 'badge', 'gun', 'youre', 'still', 'punk', 'shut', 'person', 'please']	got badge gun youre still punk shut person please	1
I'll not say another word until I do .	['ill', 'say', 'another', 'word']	ill say another word	8
It's too young for a heart attack .	['young', 'heart', 'attack']	young heart attack	4
And I got so drunk I puked spaghetti everywhere .	['got', 'drunk', 'puked', 'spaghetti', 'everywhere']	got drunk puked spaghetti everywhere	7
You have one minute .	['one', 'minute']	one minute	1
I'm your girl .	['im', 'girl']	im girl	2
[PERSON] . [PERSON] ! It's finished .	['person', 'person', 'finished']	person person finished	5, 7
Hurry back .	['hurry', 'back']	hurry back	2, 4
♪ And I think to myself ♪	['', 'think', '']	 think 	5
So , I'm guessing you didn't find my dad .	['im', 'guessing', 'didnt', 'find', 'dad']	im guessing didnt find dad	6
You mustn't cry anymore .	['mustnt', 'cry', 'anymore']	mustnt cry anymore	6
So [PERSON] , make me the drink you made the night [PERSON] was shot .	['person', 'make', 'drink', 'made', 'night', 'person', 'shot']	person make drink made night person shot	5
Come on , hurry ! Hurry !	['come', 'hurry', 'hurry']	come hurry hurry	4
A hundred of these are produced every day and sent to sweatshops where urban slaves prepare this poison for our friends , our loved ones , our children .	['hundred', 'produced', 'every', 'day', 'sent', 'sweatshops', 'urban', 'slaves', 'prepare', 'poison', 'friends', 'loved', 'ones', 'children']	hundred produced every day sent sweatshops urban slaves prepare poison friends loved ones children	1, 3
I wasn't looking where I was going .	['wasnt', 'looking', 'going']	wasnt looking going	6, 7
I'll fix you something to eat and call [PERSON] and tell him we're not coming .	['ill', 'fix', 'something', 'eat', 'call', 'person', 'tell', 'coming']	ill fix something eat call person tell coming	8
When we return , we're getting married .	['return', 'getting', 'married']	return getting married	2
You all right , [PERSON] ?	['right', 'person']	right person	4
He's a big fish . Buys me time .	['hes', 'big', 'fish', 'buys', 'time']	hes big fish buys time	8, 2
I want to die in my own land , where Human Beings are buried in the sky .	['want', 'die', 'land', 'human', 'beings', 'buried', 'sky']	want die land human beings buried sky	6
You mustn't be weak .	['mustnt', 'weak']	mustnt weak	8
I knew you were a good man .	['knew', 'good', 'man']	knew good man	8
The columns and the wolves were after me night and day .	['columns', 'wolves', 'night', 'day']	columns wolves night day	4
Hallelujah , brothers !	['hallelujah', 'brothers']	hallelujah brothers	5
I don't approve of people rushing around carrying loaded revolvers .	['dont', 'approve', 'people', 'rushing', 'around', 'carrying', 'loaded', 'revolvers']	dont approve people rushing around carrying loaded revolvers	3
Ain't gonna get tied down with no girl .	['aint', 'gonna', 'get', 'tied', 'girl']	aint gonna get tied girl	1, 2
I just fought the best fight of my life .	['fought', 'best', 'fight', 'life']	fought best fight life	8
[PERSON] would get a shot every half hour so he could die without pain .	['person', 'would', 'get', 'shot', 'every', 'half', 'hour', 'could', 'die', 'without', 'pain']	person would get shot every half hour could die without pain	6
I'm sorry to hear about your little loss .	['im', 'sorry', 'hear', 'little', 'loss']	im sorry hear little loss	6
We'll let him sleep .	['well', 'let', 'sleep']	well let sleep	8
And he was isaac the dreamer . - ( yawns )	['isaac', 'dreamer', 'yawns']	isaac dreamer yawns	3, 5
You're a genius , old boy !	['youre', 'genius', 'old', 'boy']	youre genius old boy	8
A little early for Christmas shopping , ain't it ?	['little', 'early', 'christmas', 'shopping', 'aint']	little early christmas shopping aint	5
Yeah , I think so .	['yeah', 'think']	yeah think	2
Get down ! I said now , asshole !	['get', 'said', 'asshole']	get said asshole	1
This hurts , [LOCATION] .	['hurts', 'location']	hurts location	6
[PERSON] , my sympathy for your loss --	['person', 'sympathy', 'loss']	person sympathy loss	6
To read something like that was , frankly , it was alarming to me .	['read', 'something', 'like', 'frankly', 'alarming']	read something like frankly alarming	4, 7
You are a class - A fuck - up , you know ?	['class', 'fuck', 'know']	class fuck know	3
Okay , we have , uh , chamomile , [PERSON] --	['okay', 'uh', 'chamomile', 'person']	okay uh chamomile person	7
Did you want to see me ?	['want', 'see']	want see	7
You are ?	[]		7
Well I am making breakfast here ? What are you doing ?	['well', 'making', 'breakfast']	well making breakfast	1
Are you confused ?	['confused']	confused	1
It was fortunate for you that I was here to save you .	['fortunate', 'save']	fortunate save	8
I give up !	['give']	give	1, 3, 6
