text	tokenized	preprocessed	label	1gram	2gram	3gram
What the hell are we supposed to do with these ?	['hell', 'supposed']	hell supposed	1	['hell', 'supposed']	['hell supposed']	[]
We have a shop rule here , no liquor on the premises .	['shop', 'rule', 'liquor', 'premises']	shop rule liquor premises	1	['shop', 'rule', 'liquor', 'premises']	['shop rule', 'rule liquor', 'liquor premises']	['shop rule liquor', 'rule liquor premises']
Put him in his cabin .	['put', 'cabin']	put cabin	1, 2	['put', 'cabin']	['put cabin']	[]
There's something wrong with us , something very , very wrong with us .	['theres', 'something', 'wrong', 'us', 'something', 'wrong', 'us']	theres something wrong us something wrong us	4	['theres', 'something', 'wrong', 'us', 'something', 'wrong', 'us']	['theres something', 'something wrong', 'wrong us', 'us something', 'something wrong', 'wrong us']	['theres something wrong', 'something wrong us', 'wrong us something', 'us something wrong', 'something wrong us']
See you in the [LOCATION] , [PERSON] .	['see', 'location', 'person']	see location person	2	['see', 'location', 'person']	['see location', 'location person']	['see location person']
That's gonna be hard .	['thats', 'gonna', 'hard']	thats gonna hard	4	['thats', 'gonna', 'hard']	['thats gonna', 'gonna hard']	['thats gonna hard']
Sweety , you're supposed to be beddy - byes !	['sweety', 'youre', 'supposed', 'beddy', 'byes']	sweety youre supposed beddy byes	6, 7	['sweety', 'youre', 'supposed', 'beddy', 'byes']	['sweety youre', 'youre supposed', 'supposed beddy', 'beddy byes']	['sweety youre supposed', 'youre supposed beddy', 'supposed beddy byes']
You got that ?	['got']	got	1	['got']	[]	[]
It's not too late .	['late']	late	8	['late']	[]	[]
They refuse .	['refuse']	refuse	1	['refuse']	[]	[]
That's when mine broke up .	['thats', 'mine', 'broke']	thats mine broke	6	['thats', 'mine', 'broke']	['thats mine', 'mine broke']	['thats mine broke']
[PERSON] is not gonna let you go unless you tell him where she is .	['person', 'gonna', 'let', 'go', 'unless', 'tell']	person gonna let go unless tell	1	['person', 'gonna', 'let', 'go', 'unless', 'tell']	['person gonna', 'gonna let', 'let go', 'go unless', 'unless tell']	['person gonna let', 'gonna let go', 'let go unless', 'go unless tell']
The first little league in [LOCATION] with a dome .	['first', 'little', 'league', 'location', 'dome']	first little league location dome	5	['first', 'little', 'league', 'location', 'dome']	['first little', 'little league', 'league location', 'location dome']	['first little league', 'little league location', 'league location dome']
You see , I was thinking of writing my story , so I bought this book on how to do it .	['see', 'thinking', 'writing', 'story', 'bought', 'book']	see thinking writing story bought book	2	['see', 'thinking', 'writing', 'story', 'bought', 'book']	['see thinking', 'thinking writing', 'writing story', 'story bought', 'bought book']	['see thinking writing', 'thinking writing story', 'writing story bought', 'story bought book']
Hey [PERSON] , come here and help your grandma for a minute .	['hey', 'person', 'come', 'help', 'grandma', 'minute']	hey person come help grandma minute	2	['hey', 'person', 'come', 'help', 'grandma', 'minute']	['hey person', 'person come', 'come help', 'help grandma', 'grandma minute']	['hey person come', 'person come help', 'come help grandma', 'help grandma minute']
I don't feel like answering any more questions .	['dont', 'feel', 'like', 'answering', 'questions']	dont feel like answering questions	1	['dont', 'feel', 'like', 'answering', 'questions']	['dont feel', 'feel like', 'like answering', 'answering questions']	['dont feel like', 'feel like answering', 'like answering questions']
I don't want any locked doors between me and him .	['dont', 'want', 'locked', 'doors']	dont want locked doors	6	['dont', 'want', 'locked', 'doors']	['dont want', 'want locked', 'locked doors']	['dont want locked', 'want locked doors']
They're in [PERSON]'s pocket .	['theyre', 'persons', 'pocket']	theyre persons pocket	3	['theyre', 'persons', 'pocket']	['theyre persons', 'persons pocket']	['theyre persons pocket']
I'll not go !	['ill', 'go']	ill go	1	['ill', 'go']	['ill go']	[]
Listen , my folks is important people in [LOCATION] .	['listen', 'folks', 'important', 'people', 'location']	listen folks important people location	1	['listen', 'folks', 'important', 'people', 'location']	['listen folks', 'folks important', 'important people', 'people location']	['listen folks important', 'folks important people', 'important people location']
My husband will kill me when he finds out .	['husband', 'kill', 'finds']	husband kill finds	4	['husband', 'kill', 'finds']	['husband kill', 'kill finds']	['husband kill finds']
What's the matter , dear ?	['whats', 'matter', 'dear']	whats matter dear	4	['whats', 'matter', 'dear']	['whats matter', 'matter dear']	['whats matter dear']
It's wonderful and sweet champagne !	['wonderful', 'sweet', 'champagne']	wonderful sweet champagne	5	['wonderful', 'sweet', 'champagne']	['wonderful sweet', 'sweet champagne']	['wonderful sweet champagne']
I really have . - I - I - I must go now .	['really', 'must', 'go']	really must go	4	['really', 'must', 'go']	['really must', 'must go']	['really must go']
Where do you think I've been ?	['think', 'ive']	think ive	1	['think', 'ive']	['think ive']	[]
For the hospital , for the seriously sick .	['hospital', 'seriously', 'sick']	hospital seriously sick	3	['hospital', 'seriously', 'sick']	['hospital seriously', 'seriously sick']	['hospital seriously sick']
I want my baby back .	['want', 'baby', 'back']	want baby back	4	['want', 'baby', 'back']	['want baby', 'baby back']	['want baby back']
I'm ... I'm sorry .	['im', 'im', 'sorry']	im im sorry	6	['im', 'im', 'sorry']	['im im', 'im sorry']	['im im sorry']
What is it now ?	[]		3	['']	[]	[]
That is correct .	['correct']	correct	5	['correct']	[]	[]
What'll take to get you to realise I'm givin' you a chance to pull yourselves together ?	['whatll', 'take', 'get', 'realise', 'im', 'givin', 'chance', 'pull', 'together']	whatll take get realise im givin chance pull together	7	['whatll', 'take', 'get', 'realise', 'im', 'givin', 'chance', 'pull', 'together']	['whatll take', 'take get', 'get realise', 'realise im', 'im givin', 'givin chance', 'chance pull', 'pull together']	['whatll take get', 'take get realise', 'get realise im', 'realise im givin', 'im givin chance', 'givin chance pull', 'chance pull together']
But the neighbours will know we've adopted .	['neighbours', 'know', 'weve', 'adopted']	neighbours know weve adopted	4, 7	['neighbours', 'know', 'weve', 'adopted']	['neighbours know', 'know weve', 'weve adopted']	['neighbours know weve', 'know weve adopted']
Everything all right , [PERSON] ?	['everything', 'right', 'person']	everything right person	2, 7	['everything', 'right', 'person']	['everything right', 'right person']	['everything right person']
I'm getting numb all over .	['im', 'getting', 'numb']	im getting numb	4, 6, 7	['im', 'getting', 'numb']	['im getting', 'getting numb']	['im getting numb']
I'll take care of everything .	['ill', 'take', 'care', 'everything']	ill take care everything	8	['ill', 'take', 'care', 'everything']	['ill take', 'take care', 'care everything']	['ill take care', 'take care everything']
Yes , well , she's a stupid woman .	['yes', 'well', 'shes', 'stupid', 'woman']	yes well shes stupid woman	3	['yes', 'well', 'shes', 'stupid', 'woman']	['yes well', 'well shes', 'shes stupid', 'stupid woman']	['yes well shes', 'well shes stupid', 'shes stupid woman']
I say , something kind of important has come up .	['say', 'something', 'kind', 'important', 'come']	say something kind important come	2	['say', 'something', 'kind', 'important', 'come']	['say something', 'something kind', 'kind important', 'important come']	['say something kind', 'something kind important', 'kind important come']
Thank you , sir .	['thank', 'sir']	thank sir	8, 5	['thank', 'sir']	['thank sir']	[]
Give me a break , we just met !	['give', 'break', 'met']	give break met	1	['give', 'break', 'met']	['give break', 'break met']	['give break met']
More money for the Pentagon when it's own auditors admit the military can not account for % of what it already spends .	['money', 'pentagon', 'auditors', 'admit', 'military', 'account', 'already', 'spends']	money pentagon auditors admit military account already spends	1, 3, 4	['money', 'pentagon', 'auditors', 'admit', 'military', 'account', 'already', 'spends']	['money pentagon', 'pentagon auditors', 'auditors admit', 'admit military', 'military account', 'account already', 'already spends']	['money pentagon auditors', 'pentagon auditors admit', 'auditors admit military', 'admit military account', 'military account already', 'account already spends']
Thank you , High Priest !	['thank', 'high', 'priest']	thank high priest	5	['thank', 'high', 'priest']	['thank high', 'high priest']	['thank high priest']
[PERSON] , I know you're playing with that stupid video station , What did I say about that ?	['person', 'know', 'youre', 'playing', 'stupid', 'video', 'station', 'say']	person know youre playing stupid video station say	1, 3	['person', 'know', 'youre', 'playing', 'stupid', 'video', 'station', 'say']	['person know', 'know youre', 'youre playing', 'playing stupid', 'stupid video', 'video station', 'station say']	['person know youre', 'know youre playing', 'youre playing stupid', 'playing stupid video', 'stupid video station', 'video station say']
Do you understand what I'm saying ?	['understand', 'im', 'saying']	understand im saying	1	['understand', 'im', 'saying']	['understand im', 'im saying']	['understand im saying']
And me , [PERSON] , I'm with her .	['person', 'im']	person im	5	['person', 'im']	['person im']	[]
Here we go !	['go']	go	2, 5	['go']	[]	[]
I'll cover you .	['ill', 'cover']	ill cover	8	['ill', 'cover']	['ill cover']	[]
You're gonna leave your team ?	['youre', 'gonna', 'leave', 'team']	youre gonna leave team	1, 6, 7	['youre', 'gonna', 'leave', 'team']	['youre gonna', 'gonna leave', 'leave team']	['youre gonna leave', 'gonna leave team']
( isaac crying ) - it's cranky time .	['isaac', 'crying', 'cranky', 'time']	isaac crying cranky time	4	['isaac', 'crying', 'cranky', 'time']	['isaac crying', 'crying cranky', 'cranky time']	['isaac crying cranky', 'crying cranky time']
The boy has loads of charm , Father .	['boy', 'loads', 'charm', 'father']	boy loads charm father	5	['boy', 'loads', 'charm', 'father']	['boy loads', 'loads charm', 'charm father']	['boy loads charm', 'loads charm father']
But , [PERSON] , he dresses like the man that cremated Uncle [PERSON] .	['person', 'dresses', 'like', 'man', 'cremated', 'uncle', 'person']	person dresses like man cremated uncle person	3	['person', 'dresses', 'like', 'man', 'cremated', 'uncle', 'person']	['person dresses', 'dresses like', 'like man', 'man cremated', 'cremated uncle', 'uncle person']	['person dresses like', 'dresses like man', 'like man cremated', 'man cremated uncle', 'cremated uncle person']
Who were you expecting ?	['expecting']	expecting	7	['expecting']	[]	[]
Painter ?	['painter']	painter	7	['painter']	[]	[]
Have a good day , honey .	['good', 'day', 'honey']	good day honey	8	['good', 'day', 'honey']	['good day', 'day honey']	['good day honey']
If you don't hurry ...	['dont', 'hurry']	dont hurry	4	['dont', 'hurry']	['dont hurry']	[]
It's loaded .	['loaded']	loaded	2	['loaded']	[]	[]
It's good to meet you .	['good', 'meet']	good meet	5	['good', 'meet']	['good meet']	[]
Why you got ta shout ?	['got', 'ta', 'shout']	got ta shout	1	['got', 'ta', 'shout']	['got ta', 'ta shout']	['got ta shout']
Which hedgehog ?	['hedgehog']	hedgehog	1	['hedgehog']	[]	[]
I know you women got ta pretend to be offended .	['know', 'women', 'got', 'ta', 'pretend', 'offended']	know women got ta pretend offended	3	['know', 'women', 'got', 'ta', 'pretend', 'offended']	['know women', 'women got', 'got ta', 'ta pretend', 'pretend offended']	['know women got', 'women got ta', 'got ta pretend', 'ta pretend offended']
Are you telling me he's carrying a. and a. ?	['telling', 'hes', 'carrying']	telling hes carrying	1, 4	['telling', 'hes', 'carrying']	['telling hes', 'hes carrying']	['telling hes carrying']
I thought you might want a little cheering up .	['thought', 'might', 'want', 'little', 'cheering']	thought might want little cheering	5	['thought', 'might', 'want', 'little', 'cheering']	['thought might', 'might want', 'want little', 'little cheering']	['thought might want', 'might want little', 'want little cheering']
Ah , the ring !	['ah', 'ring']	ah ring	7	['ah', 'ring']	['ah ring']	[]
I have not !	[]		8, 1, 4, 6	['']	[]	[]
There are no more stops between here and [LOCATION] .	['stops', 'location']	stops location	1	['stops', 'location']	['stops location']	[]
And don't try anything funny , cos you know what you'll get .	['dont', 'try', 'anything', 'funny', 'cos', 'know', 'youll', 'get']	dont try anything funny cos know youll get	1	['dont', 'try', 'anything', 'funny', 'cos', 'know', 'youll', 'get']	['dont try', 'try anything', 'anything funny', 'funny cos', 'cos know', 'know youll', 'youll get']	['dont try anything', 'try anything funny', 'anything funny cos', 'funny cos know', 'cos know youll', 'know youll get']
It's impossible . Now time is up , [LOCATION]'s doing it's audit .	['impossible', 'time', 'locations', 'audit']	impossible time locations audit	1, 6, 7	['impossible', 'time', 'locations', 'audit']	['impossible time', 'time locations', 'locations audit']	['impossible time locations', 'time locations audit']
They just all happened to be in the same place ...	['happened', 'place']	happened place	7	['happened', 'place']	['happened place']	[]
It is not educated . Then it repents .	['educated', 'repents']	educated repents	8, 1, 3	['educated', 'repents']	['educated repents']	[]
They're humans first .	['theyre', 'humans', 'first']	theyre humans first	8	['theyre', 'humans', 'first']	['theyre humans', 'humans first']	['theyre humans first']
You do me an injustice .	['injustice']	injustice	1	['injustice']	[]	[]
I've been thinkin' about gettin' on the highway patrol .	['ive', 'thinkin', 'gettin', 'highway', 'patrol']	ive thinkin gettin highway patrol	2	['ive', 'thinkin', 'gettin', 'highway', 'patrol']	['ive thinkin', 'thinkin gettin', 'gettin highway', 'highway patrol']	['ive thinkin gettin', 'thinkin gettin highway', 'gettin highway patrol']
I hate them .	['hate']	hate	1	['hate']	[]	[]
I don't think I've seen you before .	['dont', 'think', 'ive', 'seen']	dont think ive seen	7	['dont', 'think', 'ive', 'seen']	['dont think', 'think ive', 'ive seen']	['dont think ive', 'think ive seen']
Do you approvechamos ?	['approvechamos']	approvechamos	8	['approvechamos']	[]	[]
I had a dream that it wasn't right .	['dream', 'wasnt', 'right']	dream wasnt right	3, 6	['dream', 'wasnt', 'right']	['dream wasnt', 'wasnt right']	['dream wasnt right']
Isn't the reverse possible ?	['isnt', 'reverse', 'possible']	isnt reverse possible	2, 4	['isnt', 'reverse', 'possible']	['isnt reverse', 'reverse possible']	['isnt reverse possible']
It's black smoke .	['black', 'smoke']	black smoke	4	['black', 'smoke']	['black smoke']	[]
Things'll be different when [PERSON] gets back .	['thingsll', 'different', 'person', 'gets', 'back']	thingsll different person gets back	1	['thingsll', 'different', 'person', 'gets', 'back']	['thingsll different', 'different person', 'person gets', 'gets back']	['thingsll different person', 'different person gets', 'person gets back']
They're two nice Jewish boys from [LOCATION] .	['theyre', 'two', 'nice', 'jewish', 'boys', 'location']	theyre two nice jewish boys location	2	['theyre', 'two', 'nice', 'jewish', 'boys', 'location']	['theyre two', 'two nice', 'nice jewish', 'jewish boys', 'boys location']	['theyre two nice', 'two nice jewish', 'nice jewish boys', 'jewish boys location']
I'll give you a minute and seconds .	['ill', 'give', 'minute', 'seconds']	ill give minute seconds	1	['ill', 'give', 'minute', 'seconds']	['ill give', 'give minute', 'minute seconds']	['ill give minute', 'give minute seconds']
I do not peek .	['peek']	peek	1	['peek']	[]	[]
I'm out of my mind ?	['im', 'mind']	im mind	6	['im', 'mind']	['im mind']	[]
Then stop calling me .	['stop', 'calling']	stop calling	1, 3	['stop', 'calling']	['stop calling']	[]
You're lovely .	['youre', 'lovely']	youre lovely	5	['youre', 'lovely']	['youre lovely']	[]
I don't think so .	['dont', 'think']	dont think	1	['dont', 'think']	['dont think']	[]
That's got it .	['thats', 'got']	thats got	8	['thats', 'got']	['thats got']	[]
Bye , everybody !	['bye', 'everybody']	bye everybody	5	['bye', 'everybody']	['bye everybody']	[]
You have a lot of faith in us !	['lot', 'faith', 'us']	lot faith us	7	['lot', 'faith', 'us']	['lot faith', 'faith us']	['lot faith us']
If I give you a raft of it now over the phone , can you print it up and spread a billion copies of it ?	['give', 'raft', 'phone', 'print', 'spread', 'billion', 'copies']	give raft phone print spread billion copies	8	['give', 'raft', 'phone', 'print', 'spread', 'billion', 'copies']	['give raft', 'raft phone', 'phone print', 'print spread', 'spread billion', 'billion copies']	['give raft phone', 'raft phone print', 'phone print spread', 'print spread billion', 'spread billion copies']
They got away .	['got', 'away']	got away	6	['got', 'away']	['got away']	[]
It's not a matter I want to discuss , I tell you .	['matter', 'want', 'discuss', 'tell']	matter want discuss tell	1	['matter', 'want', 'discuss', 'tell']	['matter want', 'want discuss', 'discuss tell']	['matter want discuss', 'want discuss tell']
That's lovely .	['thats', 'lovely']	thats lovely	5	['thats', 'lovely']	['thats lovely']	[]
I will not go back where I came from , because I do not like it there .	['go', 'back', 'came', 'like']	go back came like	1	['go', 'back', 'came', 'like']	['go back', 'back came', 'came like']	['go back came', 'back came like']
What then ?	[]		1, 4, 7	['']	[]	[]
Come on . Cut it out .	['come', 'cut']	come cut	1	['come', 'cut']	['come cut']	[]
After you've moved into your permanent home , you'll enjoy mechanised servants .	['youve', 'moved', 'permanent', 'home', 'youll', 'enjoy', 'mechanised', 'servants']	youve moved permanent home youll enjoy mechanised servants	5	['youve', 'moved', 'permanent', 'home', 'youll', 'enjoy', 'mechanised', 'servants']	['youve moved', 'moved permanent', 'permanent home', 'home youll', 'youll enjoy', 'enjoy mechanised', 'mechanised servants']	['youve moved permanent', 'moved permanent home', 'permanent home youll', 'home youll enjoy', 'youll enjoy mechanised', 'enjoy mechanised servants']
But in no time at all , you'll be soldiers .	['time', 'youll', 'soldiers']	time youll soldiers	2	['time', 'youll', 'soldiers']	['time youll', 'youll soldiers']	['time youll soldiers']
Come on , you flabby old goat , give it to me .	['come', 'flabby', 'old', 'goat', 'give']	come flabby old goat give	3	['come', 'flabby', 'old', 'goat', 'give']	['come flabby', 'flabby old', 'old goat', 'goat give']	['come flabby old', 'flabby old goat', 'old goat give']
I wasn't really sure that Judge [PERSON] had a firm grip	['wasnt', 'really', 'sure', 'judge', 'person', 'firm', 'grip']	wasnt really sure judge person firm grip	4	['wasnt', 'really', 'sure', 'judge', 'person', 'firm', 'grip']	['wasnt really', 'really sure', 'sure judge', 'judge person', 'person firm', 'firm grip']	['wasnt really sure', 'really sure judge', 'sure judge person', 'judge person firm', 'person firm grip']
( giggles ) oh , you don't .	['giggles', 'oh', 'dont']	giggles oh dont	8, 5	['giggles', 'oh', 'dont']	['giggles oh', 'oh dont']	['giggles oh dont']
Keep your voice down .	['keep', 'voice']	keep voice	1, 4	['keep', 'voice']	['keep voice']	[]
I don't say that with any kind of blame or accusation , but that is when it started .	['dont', 'say', 'kind', 'blame', 'accusation', 'started']	dont say kind blame accusation started	6	['dont', 'say', 'kind', 'blame', 'accusation', 'started']	['dont say', 'say kind', 'kind blame', 'blame accusation', 'accusation started']	['dont say kind', 'say kind blame', 'kind blame accusation', 'blame accusation started']
Nothing will ever happen to me anymore !	['nothing', 'ever', 'happen', 'anymore']	nothing ever happen anymore	5	['nothing', 'ever', 'happen', 'anymore']	['nothing ever', 'ever happen', 'happen anymore']	['nothing ever happen', 'ever happen anymore']
He sounds terrific .	['sounds', 'terrific']	sounds terrific	2, 5	['sounds', 'terrific']	['sounds terrific']	[]
What happens to the gold in our safe ?	['happens', 'gold', 'safe']	happens gold safe	4	['happens', 'gold', 'safe']	['happens gold', 'gold safe']	['happens gold safe']
Men , the rest of the platoon ?	['men', 'rest', 'platoon']	men rest platoon	2	['men', 'rest', 'platoon']	['men rest', 'rest platoon']	['men rest platoon']
Me three .	['three']	three	8, 2, 5	['three']	[]	[]
Kaili ...	['kaili']	kaili	1	['kaili']	[]	[]
I think you're right .	['think', 'youre', 'right']	think youre right	8	['think', 'youre', 'right']	['think youre', 'youre right']	['think youre right']
Here , you have a go .	['go']	go	2	['go']	[]	[]
Please , don't let him do it !	['please', 'dont', 'let']	please dont let	1, 6	['please', 'dont', 'let']	['please dont', 'dont let']	['please dont let']
If they find out you're FBI , we have a problem .	['find', 'youre', 'fbi', 'problem']	find youre fbi problem	4	['find', 'youre', 'fbi', 'problem']	['find youre', 'youre fbi', 'fbi problem']	['find youre fbi', 'youre fbi problem']
There's a big hole in the flight deck .	['theres', 'big', 'hole', 'flight', 'deck']	theres big hole flight deck	4	['theres', 'big', 'hole', 'flight', 'deck']	['theres big', 'big hole', 'hole flight', 'flight deck']	['theres big hole', 'big hole flight', 'hole flight deck']
You've been told .	['youve', 'told']	youve told	1, 2	['youve', 'told']	['youve told']	[]
Yeah , right .	['yeah', 'right']	yeah right	3, 7	['yeah', 'right']	['yeah right']	[]
We need your dreams and stories to exist .	['need', 'dreams', 'stories', 'exist']	need dreams stories exist	8	['need', 'dreams', 'stories', 'exist']	['need dreams', 'dreams stories', 'stories exist']	['need dreams stories', 'dreams stories exist']
Scrub all day and I can still smell it ...	['scrub', 'day', 'still', 'smell']	scrub day still smell	3	['scrub', 'day', 'still', 'smell']	['scrub day', 'day still', 'still smell']	['scrub day still', 'day still smell']
Let me talk to her again .	['let', 'talk']	let talk	2	['let', 'talk']	['let talk']	[]
And you know how vain women are .	['know', 'vain', 'women']	know vain women	3	['know', 'vain', 'women']	['know vain', 'vain women']	['know vain women']
Too much vodka .	['much', 'vodka']	much vodka	3	['much', 'vodka']	['much vodka']	[]
Well , [PERSON] seems divinely happy .	['well', 'person', 'seems', 'divinely', 'happy']	well person seems divinely happy	5	['well', 'person', 'seems', 'divinely', 'happy']	['well person', 'person seems', 'seems divinely', 'divinely happy']	['well person seems', 'person seems divinely', 'seems divinely happy']
I do not know who plays the violin . [PERSON] .	['know', 'plays', 'violin', 'person']	know plays violin person	2, 4	['know', 'plays', 'violin', 'person']	['know plays', 'plays violin', 'violin person']	['know plays violin', 'plays violin person']
I was shot up pretty bad .	['shot', 'pretty', 'bad']	shot pretty bad	4	['shot', 'pretty', 'bad']	['shot pretty', 'pretty bad']	['shot pretty bad']
Glad you reminded me .	['glad', 'reminded']	glad reminded	5	['glad', 'reminded']	['glad reminded']	[]
Died thinking it might be over between us .	['died', 'thinking', 'might', 'us']	died thinking might us	8, 4, 6	['died', 'thinking', 'might', 'us']	['died thinking', 'thinking might', 'might us']	['died thinking might', 'thinking might us']
So ... what in the hell takes you to [LOCATION] every five minutes ?	['hell', 'takes', 'location', 'every', 'five', 'minutes']	hell takes location every five minutes	1	['hell', 'takes', 'location', 'every', 'five', 'minutes']	['hell takes', 'takes location', 'location every', 'every five', 'five minutes']	['hell takes location', 'takes location every', 'location every five', 'every five minutes']
That is ridiculous .	['ridiculous']	ridiculous	1, 3	['ridiculous']	[]	[]
Well , it should be a pretty smooth flight . The weather's clear to [LOCATION] .	['well', 'pretty', 'smooth', 'flight', 'weathers', 'clear', 'location']	well pretty smooth flight weathers clear location	8, 5	['well', 'pretty', 'smooth', 'flight', 'weathers', 'clear', 'location']	['well pretty', 'pretty smooth', 'smooth flight', 'flight weathers', 'weathers clear', 'clear location']	['well pretty smooth', 'pretty smooth flight', 'smooth flight weathers', 'flight weathers clear', 'weathers clear location']
Move and I'll slit your throat !	['move', 'ill', 'slit', 'throat']	move ill slit throat	1	['move', 'ill', 'slit', 'throat']	['move ill', 'ill slit', 'slit throat']	['move ill slit', 'ill slit throat']
Hanford has extensive outdoor experience .	['hanford', 'extensive', 'outdoor', 'experience']	hanford extensive outdoor experience	8	['hanford', 'extensive', 'outdoor', 'experience']	['hanford extensive', 'extensive outdoor', 'outdoor experience']	['hanford extensive outdoor', 'extensive outdoor experience']
This town likes its nasty little , backstairs gossip .	['town', 'likes', 'nasty', 'little', 'backstairs', 'gossip']	town likes nasty little backstairs gossip	3	['town', 'likes', 'nasty', 'little', 'backstairs', 'gossip']	['town likes', 'likes nasty', 'nasty little', 'little backstairs', 'backstairs gossip']	['town likes nasty', 'likes nasty little', 'nasty little backstairs', 'little backstairs gossip']
Nail it .	['nail']	nail	8	['nail']	[]	[]
Honey , dinner will be ready in about 30 , minutes .	['honey', 'dinner', 'ready', '30', 'minutes']	honey dinner ready 30 minutes	2	['honey', 'dinner', 'ready', '30', 'minutes']	['honey dinner', 'dinner ready', 'ready 30', '30 minutes']	['honey dinner ready', 'dinner ready 30', 'ready 30 minutes']
This is a great exercise for the inner thigh . When I count to ,	['great', 'exercise', 'inner', 'thigh', 'count']	great exercise inner thigh count	8, 2	['great', 'exercise', 'inner', 'thigh', 'count']	['great exercise', 'exercise inner', 'inner thigh', 'thigh count']	['great exercise inner', 'exercise inner thigh', 'inner thigh count']
I like street cats .	['like', 'street', 'cats']	like street cats	5	['like', 'street', 'cats']	['like street', 'street cats']	['like street cats']
In here ! Quickly !	['quickly']	quickly	2	['quickly']	[]	[]
[PERSON] was right . You are lovely .	['person', 'right', 'lovely']	person right lovely	5, 7	['person', 'right', 'lovely']	['person right', 'right lovely']	['person right lovely']
I'll give it back to you in the morning .	['ill', 'give', 'back', 'morning']	ill give back morning	8	['ill', 'give', 'back', 'morning']	['ill give', 'give back', 'back morning']	['ill give back', 'give back morning']
Will you hold this a minute , please ?	['hold', 'minute', 'please']	hold minute please	8	['hold', 'minute', 'please']	['hold minute', 'minute please']	['hold minute please']
I sure pity the people that have to breathe in the daytime .	['sure', 'pity', 'people', 'breathe', 'daytime']	sure pity people breathe daytime	3	['sure', 'pity', 'people', 'breathe', 'daytime']	['sure pity', 'pity people', 'people breathe', 'breathe daytime']	['sure pity people', 'pity people breathe', 'people breathe daytime']
I mean , didn't you feel like A complete piece of gutless , spineless , Primordial slime ?	['mean', 'didnt', 'feel', 'like', 'complete', 'piece', 'gutless', 'spineless', 'primordial', 'slime']	mean didnt feel like complete piece gutless spineless primordial slime	3	['mean', 'didnt', 'feel', 'like', 'complete', 'piece', 'gutless', 'spineless', 'primordial', 'slime']	['mean didnt', 'didnt feel', 'feel like', 'like complete', 'complete piece', 'piece gutless', 'gutless spineless', 'spineless primordial', 'primordial slime']	['mean didnt feel', 'didnt feel like', 'feel like complete', 'like complete piece', 'complete piece gutless', 'piece gutless spineless', 'gutless spineless primordial', 'spineless primordial slime']
Now , this is pretty great .	['pretty', 'great']	pretty great	5	['pretty', 'great']	['pretty great']	[]
And lo and behold , we get through all of it ... the jackpot , the horse , this headcase [PERSON] , and here's this horse , ready to run .	['lo', 'behold', 'get', 'jackpot', 'horse', 'headcase', 'person', 'heres', 'horse', 'ready', 'run']	lo behold get jackpot horse headcase person heres horse ready run	8, 2	['lo', 'behold', 'get', 'jackpot', 'horse', 'headcase', 'person', 'heres', 'horse', 'ready', 'run']	['lo behold', 'behold get', 'get jackpot', 'jackpot horse', 'horse headcase', 'headcase person', 'person heres', 'heres horse', 'horse ready', 'ready run']	['lo behold get', 'behold get jackpot', 'get jackpot horse', 'jackpot horse headcase', 'horse headcase person', 'headcase person heres', 'person heres horse', 'heres horse ready', 'horse ready run']
I can't believe it myself .	['cant', 'believe']	cant believe	7	['cant', 'believe']	['cant believe']	[]
A great dandy , but very clever .	['great', 'dandy', 'clever']	great dandy clever	8	['great', 'dandy', 'clever']	['great dandy', 'dandy clever']	['great dandy clever']
God damn it .	['god', 'damn']	god damn	1	['god', 'damn']	['god damn']	[]
Someone gathered the powders to sleep to the tonic ?	['someone', 'gathered', 'powders', 'sleep', 'tonic']	someone gathered powders sleep tonic	7	['someone', 'gathered', 'powders', 'sleep', 'tonic']	['someone gathered', 'gathered powders', 'powders sleep', 'sleep tonic']	['someone gathered powders', 'gathered powders sleep', 'powders sleep tonic']
What do they want with us ?	['want', 'us']	want us	4	['want', 'us']	['want us']	[]
Not mentally .	['mentally']	mentally	6	['mentally']	[]	[]
Well , this is more like it .	['well', 'like']	well like	5	['well', 'like']	['well like']	[]
If he found out , he'd insist upon doing it himself if he had the money , which I doubt .	['found', 'hed', 'insist', 'upon', 'money', 'doubt']	found hed insist upon money doubt	4	['found', 'hed', 'insist', 'upon', 'money', 'doubt']	['found hed', 'hed insist', 'insist upon', 'upon money', 'money doubt']	['found hed insist', 'hed insist upon', 'insist upon money', 'upon money doubt']
Has anyone considered trying , Open sesame  ? 	['anyone', 'considered', 'trying', 'open', 'sesame']	anyone considered trying open sesame	1	['anyone', 'considered', 'trying', 'open', 'sesame']	['anyone considered', 'considered trying', 'trying open', 'open sesame']	['anyone considered trying', 'considered trying open', 'trying open sesame']
Absolutely . Please , go and see them .	['absolutely', 'please', 'go', 'see']	absolutely please go see	8	['absolutely', 'please', 'go', 'see']	['absolutely please', 'please go', 'go see']	['absolutely please go', 'please go see']
Those of you in favor of these articles , raise your right hands and say aye !	['favor', 'articles', 'raise', 'right', 'hands', 'say', 'aye']	favor articles raise right hands say aye	8	['favor', 'articles', 'raise', 'right', 'hands', 'say', 'aye']	['favor articles', 'articles raise', 'raise right', 'right hands', 'hands say', 'say aye']	['favor articles raise', 'articles raise right', 'raise right hands', 'right hands say', 'hands say aye']
