text	text_nopunct	text_downcase	tokenized	nostop	lemmatized	label
I don't want any locked doors between me and him .	I dont want any locked doors between me and him	i dont want any locked doors between me and him	['i', 'dont', 'want', 'any', 'locked', 'doors', 'between', 'me', 'and', 'him']	['dont', 'want', 'locked', 'doors']	['dont', 'want', 'locked', 'door']	6
They're in [PERSON]'s pocket .	Theyre in PERSONs pocket	theyre in persons pocket	['theyre', 'in', 'persons', 'pocket']	['theyre', 'persons', 'pocket']	['theyre', 'person', 'pocket']	3
I'll not go !	Ill not go	ill not go	['ill', 'not', 'go']	['ill', 'go']	['ill', 'go']	1
Listen , my folks is important people in [LOCATION] .	Listen  my folks is important people in LOCATION	listen  my folks is important people in location	['listen', 'my', 'folks', 'is', 'important', 'people', 'in', 'location']	['listen', 'folks', 'important', 'people', 'location']	['listen', 'folk', 'important', 'people', 'location']	1
My husband will kill me when he finds out .	My husband will kill me when he finds out	my husband will kill me when he finds out	['my', 'husband', 'will', 'kill', 'me', 'when', 'he', 'finds', 'out']	['husband', 'kill', 'finds']	['husband', 'kill', 'find']	4
What's the matter , dear ?	Whats the matter  dear	whats the matter  dear	['whats', 'the', 'matter', 'dear']	['whats', 'matter', 'dear']	['whats', 'matter', 'dear']	4
It's wonderful and sweet champagne !	Its wonderful and sweet champagne	its wonderful and sweet champagne	['its', 'wonderful', 'and', 'sweet', 'champagne']	['wonderful', 'sweet', 'champagne']	['wonderful', 'sweet', 'champagne']	5
I really have . - I - I - I must go now .	I really have   I  I  I must go now	i really have   i  i  i must go now	['i', 'really', 'have', 'i', 'i', 'i', 'must', 'go', 'now']	['really', 'must', 'go']	['really', 'must', 'go']	4
Where do you think I've been ?	Where do you think Ive been	where do you think ive been	['where', 'do', 'you', 'think', 'ive', 'been']	['think', 'ive']	['think', 'ive']	1
For the hospital , for the seriously sick .	For the hospital  for the seriously sick	for the hospital  for the seriously sick	['for', 'the', 'hospital', 'for', 'the', 'seriously', 'sick']	['hospital', 'seriously', 'sick']	['hospital', 'seriously', 'sick']	3
I want my baby back .	I want my baby back	i want my baby back	['i', 'want', 'my', 'baby', 'back']	['want', 'baby', 'back']	['want', 'baby', 'back']	4
I'm ... I'm sorry .	Im  Im sorry	im  im sorry	['im', 'im', 'sorry']	['im', 'im', 'sorry']	['im', 'im', 'sorry']	6
What is it now ?	What is it now	what is it now	['what', 'is', 'it', 'now']	[]	[]	3
That is correct .	That is correct	that is correct	['that', 'is', 'correct']	['correct']	['correct']	5
What'll take to get you to realise I'm givin' you a chance to pull yourselves together ?	Whatll take to get you to realise Im givin you a chance to pull yourselves together	whatll take to get you to realise im givin you a chance to pull yourselves together	['whatll', 'take', 'to', 'get', 'you', 'to', 'realise', 'im', 'givin', 'you', 'a', 'chance', 'to', 'pull', 'yourselves', 'together']	['whatll', 'take', 'get', 'realise', 'im', 'givin', 'chance', 'pull', 'together']	['whatll', 'take', 'get', 'realise', 'im', 'givin', 'chance', 'pull', 'together']	7
But the neighbours will know we've adopted .	But the neighbours will know weve adopted	but the neighbours will know weve adopted	['but', 'the', 'neighbours', 'will', 'know', 'weve', 'adopted']	['neighbours', 'know', 'weve', 'adopted']	['neighbour', 'know', 'weve', 'adopted']	4, 7
Everything all right , [PERSON] ?	Everything all right  PERSON	everything all right  person	['everything', 'all', 'right', 'person']	['everything', 'right', 'person']	['everything', 'right', 'person']	2, 7
I'm getting numb all over .	Im getting numb all over	im getting numb all over	['im', 'getting', 'numb', 'all', 'over']	['im', 'getting', 'numb']	['im', 'getting', 'numb']	4, 6, 7
I'll take care of everything .	Ill take care of everything	ill take care of everything	['ill', 'take', 'care', 'of', 'everything']	['ill', 'take', 'care', 'everything']	['ill', 'take', 'care', 'everything']	8
Yes , well , she's a stupid woman .	Yes  well  shes a stupid woman	yes  well  shes a stupid woman	['yes', 'well', 'shes', 'a', 'stupid', 'woman']	['yes', 'well', 'shes', 'stupid', 'woman']	['yes', 'well', 'shes', 'stupid', 'woman']	3
I say , something kind of important has come up .	I say  something kind of important has come up	i say  something kind of important has come up	['i', 'say', 'something', 'kind', 'of', 'important', 'has', 'come', 'up']	['say', 'something', 'kind', 'important', 'come']	['say', 'something', 'kind', 'important', 'come']	2
Thank you , sir .	Thank you  sir	thank you  sir	['thank', 'you', 'sir']	['thank', 'sir']	['thank', 'sir']	8, 5
Give me a break , we just met !	Give me a break  we just met	give me a break  we just met	['give', 'me', 'a', 'break', 'we', 'just', 'met']	['give', 'break', 'met']	['give', 'break', 'met']	1
More money for the Pentagon when it's own auditors admit the military can not account for % of what it already spends .	More money for the Pentagon when its own auditors admit the military can not account for  of what it already spends	more money for the pentagon when its own auditors admit the military can not account for  of what it already spends	['more', 'money', 'for', 'the', 'pentagon', 'when', 'its', 'own', 'auditors', 'admit', 'the', 'military', 'can', 'not', 'account', 'for', 'of', 'what', 'it', 'already', 'spends']	['money', 'pentagon', 'auditors', 'admit', 'military', 'account', 'already', 'spends']	['money', 'pentagon', 'auditor', 'admit', 'military', 'account', 'already', 'spends']	1, 3, 4
Thank you , High Priest !	Thank you  High Priest	thank you  high priest	['thank', 'you', 'high', 'priest']	['thank', 'high', 'priest']	['thank', 'high', 'priest']	5
[PERSON] , I know you're playing with that stupid video station , What did I say about that ?	PERSON  I know youre playing with that stupid video station  What did I say about that	person  i know youre playing with that stupid video station  what did i say about that	['person', 'i', 'know', 'youre', 'playing', 'with', 'that', 'stupid', 'video', 'station', 'what', 'did', 'i', 'say', 'about', 'that']	['person', 'know', 'youre', 'playing', 'stupid', 'video', 'station', 'say']	['person', 'know', 'youre', 'playing', 'stupid', 'video', 'station', 'say']	1, 3
Do you understand what I'm saying ?	Do you understand what Im saying	do you understand what im saying	['do', 'you', 'understand', 'what', 'im', 'saying']	['understand', 'im', 'saying']	['understand', 'im', 'saying']	1
And me , [PERSON] , I'm with her .	And me  PERSON  Im with her	and me  person  im with her	['and', 'me', 'person', 'im', 'with', 'her']	['person', 'im']	['person', 'im']	5
Here we go !	Here we go	here we go	['here', 'we', 'go']	['go']	['go']	2, 5
I'll cover you .	Ill cover you	ill cover you	['ill', 'cover', 'you']	['ill', 'cover']	['ill', 'cover']	8
You're gonna leave your team ?	Youre gonna leave your team	youre gonna leave your team	['youre', 'gonna', 'leave', 'your', 'team']	['youre', 'gonna', 'leave', 'team']	['youre', 'gonna', 'leave', 'team']	1, 6, 7
( isaac crying ) - it's cranky time .	isaac crying   its cranky time	isaac crying   its cranky time	['isaac', 'crying', 'its', 'cranky', 'time']	['isaac', 'crying', 'cranky', 'time']	['isaac', 'cry', 'cranky', 'time']	4
The boy has loads of charm , Father .	The boy has loads of charm  Father	the boy has loads of charm  father	['the', 'boy', 'has', 'loads', 'of', 'charm', 'father']	['boy', 'loads', 'charm', 'father']	['boy', 'load', 'charm', 'father']	5
But , [PERSON] , he dresses like the man that cremated Uncle [PERSON] .	But  PERSON  he dresses like the man that cremated Uncle PERSON	but  person  he dresses like the man that cremated uncle person	['but', 'person', 'he', 'dresses', 'like', 'the', 'man', 'that', 'cremated', 'uncle', 'person']	['person', 'dresses', 'like', 'man', 'cremated', 'uncle', 'person']	['person', 'dress', 'like', 'man', 'cremated', 'uncle', 'person']	3
Who were you expecting ?	Who were you expecting	who were you expecting	['who', 'were', 'you', 'expecting']	['expecting']	['expecting']	7
Painter ?	Painter	painter	['painter']	['painter']	['painter']	7
Have a good day , honey .	Have a good day  honey	have a good day  honey	['have', 'a', 'good', 'day', 'honey']	['good', 'day', 'honey']	['good', 'day', 'honey']	8
If you don't hurry ...	If you dont hurry	if you dont hurry	['if', 'you', 'dont', 'hurry']	['dont', 'hurry']	['dont', 'hurry']	4
It's loaded .	Its loaded	its loaded	['its', 'loaded']	['loaded']	['loaded']	2
It's good to meet you .	Its good to meet you	its good to meet you	['its', 'good', 'to', 'meet', 'you']	['good', 'meet']	['good', 'meet']	5
Why you got ta shout ?	Why you got ta shout	why you got ta shout	['why', 'you', 'got', 'ta', 'shout']	['got', 'ta', 'shout']	['got', 'ta', 'shout']	1
Which hedgehog ?	Which hedgehog	which hedgehog	['which', 'hedgehog']	['hedgehog']	['hedgehog']	1
I know you women got ta pretend to be offended .	I know you women got ta pretend to be offended	i know you women got ta pretend to be offended	['i', 'know', 'you', 'women', 'got', 'ta', 'pretend', 'to', 'be', 'offended']	['know', 'women', 'got', 'ta', 'pretend', 'offended']	['know', 'woman', 'got', 'ta', 'pretend', 'offended']	3
Are you telling me he's carrying a. and a. ?	Are you telling me hes carrying a and a	are you telling me hes carrying a and a	['are', 'you', 'telling', 'me', 'hes', 'carrying', 'a', 'and', 'a']	['telling', 'hes', 'carrying']	['telling', 'he', 'carrying']	1, 4
I thought you might want a little cheering up .	I thought you might want a little cheering up	i thought you might want a little cheering up	['i', 'thought', 'you', 'might', 'want', 'a', 'little', 'cheering', 'up']	['thought', 'might', 'want', 'little', 'cheering']	['thought', 'might', 'want', 'little', 'cheering']	5
Ah , the ring !	Ah  the ring	ah  the ring	['ah', 'the', 'ring']	['ah', 'ring']	['ah', 'ring']	7
I have not !	I have not	i have not	['i', 'have', 'not']	[]	[]	8, 1, 4, 6
There are no more stops between here and [LOCATION] .	There are no more stops between here and LOCATION	there are no more stops between here and location	['there', 'are', 'no', 'more', 'stops', 'between', 'here', 'and', 'location']	['stops', 'location']	['stop', 'location']	1
And don't try anything funny , cos you know what you'll get .	And dont try anything funny  cos you know what youll get	and dont try anything funny  cos you know what youll get	['and', 'dont', 'try', 'anything', 'funny', 'cos', 'you', 'know', 'what', 'youll', 'get']	['dont', 'try', 'anything', 'funny', 'cos', 'know', 'youll', 'get']	['dont', 'try', 'anything', 'funny', 'co', 'know', 'youll', 'get']	1
It's impossible . Now time is up , [LOCATION]'s doing it's audit .	Its impossible  Now time is up  LOCATIONs doing its audit	its impossible  now time is up  locations doing its audit	['its', 'impossible', 'now', 'time', 'is', 'up', 'locations', 'doing', 'its', 'audit']	['impossible', 'time', 'locations', 'audit']	['impossible', 'time', 'location', 'audit']	1, 6, 7
They just all happened to be in the same place ...	They just all happened to be in the same place	they just all happened to be in the same place	['they', 'just', 'all', 'happened', 'to', 'be', 'in', 'the', 'same', 'place']	['happened', 'place']	['happened', 'place']	7
It is not educated . Then it repents .	It is not educated  Then it repents	it is not educated  then it repents	['it', 'is', 'not', 'educated', 'then', 'it', 'repents']	['educated', 'repents']	['educated', 'repents']	8, 1, 3
They're humans first .	Theyre humans first	theyre humans first	['theyre', 'humans', 'first']	['theyre', 'humans', 'first']	['theyre', 'human', 'first']	8
You do me an injustice .	You do me an injustice	you do me an injustice	['you', 'do', 'me', 'an', 'injustice']	['injustice']	['injustice']	1
I've been thinkin' about gettin' on the highway patrol .	Ive been thinkin about gettin on the highway patrol	ive been thinkin about gettin on the highway patrol	['ive', 'been', 'thinkin', 'about', 'gettin', 'on', 'the', 'highway', 'patrol']	['ive', 'thinkin', 'gettin', 'highway', 'patrol']	['ive', 'thinkin', 'gettin', 'highway', 'patrol']	2
I hate them .	I hate them	i hate them	['i', 'hate', 'them']	['hate']	['hate']	1
I don't think I've seen you before .	I dont think Ive seen you before	i dont think ive seen you before	['i', 'dont', 'think', 'ive', 'seen', 'you', 'before']	['dont', 'think', 'ive', 'seen']	['dont', 'think', 'ive', 'seen']	7
Do you approvechamos ?	Do you approvechamos	do you approvechamos	['do', 'you', 'approvechamos']	['approvechamos']	['approvechamos']	8
I had a dream that it wasn't right .	I had a dream that it wasnt right	i had a dream that it wasnt right	['i', 'had', 'a', 'dream', 'that', 'it', 'wasnt', 'right']	['dream', 'wasnt', 'right']	['dream', 'wasnt', 'right']	3, 6
Isn't the reverse possible ?	Isnt the reverse possible	isnt the reverse possible	['isnt', 'the', 'reverse', 'possible']	['isnt', 'reverse', 'possible']	['isnt', 'reverse', 'possible']	2, 4
It's black smoke .	Its black smoke	its black smoke	['its', 'black', 'smoke']	['black', 'smoke']	['black', 'smoke']	4
Things'll be different when [PERSON] gets back .	Thingsll be different when PERSON gets back	thingsll be different when person gets back	['thingsll', 'be', 'different', 'when', 'person', 'gets', 'back']	['thingsll', 'different', 'person', 'gets', 'back']	['thingsll', 'different', 'person', 'get', 'back']	1
They're two nice Jewish boys from [LOCATION] .	Theyre two nice Jewish boys from LOCATION	theyre two nice jewish boys from location	['theyre', 'two', 'nice', 'jewish', 'boys', 'from', 'location']	['theyre', 'two', 'nice', 'jewish', 'boys', 'location']	['theyre', 'two', 'nice', 'jewish', 'boy', 'location']	2
I'll give you a minute and seconds .	Ill give you a minute and seconds	ill give you a minute and seconds	['ill', 'give', 'you', 'a', 'minute', 'and', 'seconds']	['ill', 'give', 'minute', 'seconds']	['ill', 'give', 'minute', 'second']	1
I do not peek .	I do not peek	i do not peek	['i', 'do', 'not', 'peek']	['peek']	['peek']	1
I'm out of my mind ?	Im out of my mind	im out of my mind	['im', 'out', 'of', 'my', 'mind']	['im', 'mind']	['im', 'mind']	6
Then stop calling me .	Then stop calling me	then stop calling me	['then', 'stop', 'calling', 'me']	['stop', 'calling']	['stop', 'calling']	1, 3
You're lovely .	Youre lovely	youre lovely	['youre', 'lovely']	['youre', 'lovely']	['youre', 'lovely']	5
I don't think so .	I dont think so	i dont think so	['i', 'dont', 'think', 'so']	['dont', 'think']	['dont', 'think']	1
That's got it .	Thats got it	thats got it	['thats', 'got', 'it']	['thats', 'got']	['thats', 'got']	8
Bye , everybody !	Bye  everybody	bye  everybody	['bye', 'everybody']	['bye', 'everybody']	['bye', 'everybody']	5
You have a lot of faith in us !	You have a lot of faith in us	you have a lot of faith in us	['you', 'have', 'a', 'lot', 'of', 'faith', 'in', 'us']	['lot', 'faith', 'us']	['lot', 'faith', 'u']	7
If I give you a raft of it now over the phone , can you print it up and spread a billion copies of it ?	If I give you a raft of it now over the phone  can you print it up and spread a billion copies of it	if i give you a raft of it now over the phone  can you print it up and spread a billion copies of it	['if', 'i', 'give', 'you', 'a', 'raft', 'of', 'it', 'now', 'over', 'the', 'phone', 'can', 'you', 'print', 'it', 'up', 'and', 'spread', 'a', 'billion', 'copies', 'of', 'it']	['give', 'raft', 'phone', 'print', 'spread', 'billion', 'copies']	['give', 'raft', 'phone', 'print', 'spread', 'billion', 'copy']	8
They got away .	They got away	they got away	['they', 'got', 'away']	['got', 'away']	['got', 'away']	6
It's not a matter I want to discuss , I tell you .	Its not a matter I want to discuss  I tell you	its not a matter i want to discuss  i tell you	['its', 'not', 'a', 'matter', 'i', 'want', 'to', 'discuss', 'i', 'tell', 'you']	['matter', 'want', 'discuss', 'tell']	['matter', 'want', 'discus', 'tell']	1
That's lovely .	Thats lovely	thats lovely	['thats', 'lovely']	['thats', 'lovely']	['thats', 'lovely']	5
I will not go back where I came from , because I do not like it there .	I will not go back where I came from  because I do not like it there	i will not go back where i came from  because i do not like it there	['i', 'will', 'not', 'go', 'back', 'where', 'i', 'came', 'from', 'because', 'i', 'do', 'not', 'like', 'it', 'there']	['go', 'back', 'came', 'like']	['go', 'back', 'came', 'like']	1
What then ?	What then	what then	['what', 'then']	[]	[]	1, 4, 7
Come on . Cut it out .	Come on  Cut it out	come on  cut it out	['come', 'on', 'cut', 'it', 'out']	['come', 'cut']	['come', 'cut']	1
After you've moved into your permanent home , you'll enjoy mechanised servants .	After youve moved into your permanent home  youll enjoy mechanised servants	after youve moved into your permanent home  youll enjoy mechanised servants	['after', 'youve', 'moved', 'into', 'your', 'permanent', 'home', 'youll', 'enjoy', 'mechanised', 'servants']	['youve', 'moved', 'permanent', 'home', 'youll', 'enjoy', 'mechanised', 'servants']	['youve', 'moved', 'permanent', 'home', 'youll', 'enjoy', 'mechanised', 'servant']	5
But in no time at all , you'll be soldiers .	But in no time at all  youll be soldiers	but in no time at all  youll be soldiers	['but', 'in', 'no', 'time', 'at', 'all', 'youll', 'be', 'soldiers']	['time', 'youll', 'soldiers']	['time', 'youll', 'soldier']	2
Come on , you flabby old goat , give it to me .	Come on  you flabby old goat  give it to me	come on  you flabby old goat  give it to me	['come', 'on', 'you', 'flabby', 'old', 'goat', 'give', 'it', 'to', 'me']	['come', 'flabby', 'old', 'goat', 'give']	['come', 'flabby', 'old', 'goat', 'give']	3
I wasn't really sure that Judge [PERSON] had a firm grip	I wasnt really sure that Judge PERSON had a firm grip	i wasnt really sure that judge person had a firm grip	['i', 'wasnt', 'really', 'sure', 'that', 'judge', 'person', 'had', 'a', 'firm', 'grip']	['wasnt', 'really', 'sure', 'judge', 'person', 'firm', 'grip']	['wasnt', 'really', 'sure', 'judge', 'person', 'firm', 'grip']	4
( giggles ) oh , you don't .	giggles  oh  you dont	giggles  oh  you dont	['giggles', 'oh', 'you', 'dont']	['giggles', 'oh', 'dont']	['giggle', 'oh', 'dont']	8, 5
Keep your voice down .	Keep your voice down	keep your voice down	['keep', 'your', 'voice', 'down']	['keep', 'voice']	['keep', 'voice']	1, 4
I don't say that with any kind of blame or accusation , but that is when it started .	I dont say that with any kind of blame or accusation  but that is when it started	i dont say that with any kind of blame or accusation  but that is when it started	['i', 'dont', 'say', 'that', 'with', 'any', 'kind', 'of', 'blame', 'or', 'accusation', 'but', 'that', 'is', 'when', 'it', 'started']	['dont', 'say', 'kind', 'blame', 'accusation', 'started']	['dont', 'say', 'kind', 'blame', 'accusation', 'started']	6
Nothing will ever happen to me anymore !	Nothing will ever happen to me anymore	nothing will ever happen to me anymore	['nothing', 'will', 'ever', 'happen', 'to', 'me', 'anymore']	['nothing', 'ever', 'happen', 'anymore']	['nothing', 'ever', 'happen', 'anymore']	5
He sounds terrific .	He sounds terrific	he sounds terrific	['he', 'sounds', 'terrific']	['sounds', 'terrific']	['sound', 'terrific']	2, 5
What happens to the gold in our safe ?	What happens to the gold in our safe	what happens to the gold in our safe	['what', 'happens', 'to', 'the', 'gold', 'in', 'our', 'safe']	['happens', 'gold', 'safe']	['happens', 'gold', 'safe']	4
Men , the rest of the platoon ?	Men  the rest of the platoon	men  the rest of the platoon	['men', 'the', 'rest', 'of', 'the', 'platoon']	['men', 'rest', 'platoon']	['men', 'rest', 'platoon']	2
Me three .	Me three	me three	['me', 'three']	['three']	['three']	8, 2, 5
Kaili ...	Kaili	kaili	['kaili']	['kaili']	['kaili']	1
I think you're right .	I think youre right	i think youre right	['i', 'think', 'youre', 'right']	['think', 'youre', 'right']	['think', 'youre', 'right']	8
Here , you have a go .	Here  you have a go	here  you have a go	['here', 'you', 'have', 'a', 'go']	['go']	['go']	2
Please , don't let him do it !	Please  dont let him do it	please  dont let him do it	['please', 'dont', 'let', 'him', 'do', 'it']	['please', 'dont', 'let']	['please', 'dont', 'let']	1, 6
If they find out you're FBI , we have a problem .	If they find out youre FBI  we have a problem	if they find out youre fbi  we have a problem	['if', 'they', 'find', 'out', 'youre', 'fbi', 'we', 'have', 'a', 'problem']	['find', 'youre', 'fbi', 'problem']	['find', 'youre', 'fbi', 'problem']	4
There's a big hole in the flight deck .	Theres a big hole in the flight deck	theres a big hole in the flight deck	['theres', 'a', 'big', 'hole', 'in', 'the', 'flight', 'deck']	['theres', 'big', 'hole', 'flight', 'deck']	['there', 'big', 'hole', 'flight', 'deck']	4
You've been told .	Youve been told	youve been told	['youve', 'been', 'told']	['youve', 'told']	['youve', 'told']	1, 2
Yeah , right .	Yeah  right	yeah  right	['yeah', 'right']	['yeah', 'right']	['yeah', 'right']	3, 7
We need your dreams and stories to exist .	We need your dreams and stories to exist	we need your dreams and stories to exist	['we', 'need', 'your', 'dreams', 'and', 'stories', 'to', 'exist']	['need', 'dreams', 'stories', 'exist']	['need', 'dream', 'story', 'exist']	8
Scrub all day and I can still smell it ...	Scrub all day and I can still smell it	scrub all day and i can still smell it	['scrub', 'all', 'day', 'and', 'i', 'can', 'still', 'smell', 'it']	['scrub', 'day', 'still', 'smell']	['scrub', 'day', 'still', 'smell']	3
Let me talk to her again .	Let me talk to her again	let me talk to her again	['let', 'me', 'talk', 'to', 'her', 'again']	['let', 'talk']	['let', 'talk']	2
And you know how vain women are .	And you know how vain women are	and you know how vain women are	['and', 'you', 'know', 'how', 'vain', 'women', 'are']	['know', 'vain', 'women']	['know', 'vain', 'woman']	3
Too much vodka .	Too much vodka	too much vodka	['too', 'much', 'vodka']	['much', 'vodka']	['much', 'vodka']	3
Well , [PERSON] seems divinely happy .	Well  PERSON seems divinely happy	well  person seems divinely happy	['well', 'person', 'seems', 'divinely', 'happy']	['well', 'person', 'seems', 'divinely', 'happy']	['well', 'person', 'seems', 'divinely', 'happy']	5
I do not know who plays the violin . [PERSON] .	I do not know who plays the violin  PERSON	i do not know who plays the violin  person	['i', 'do', 'not', 'know', 'who', 'plays', 'the', 'violin', 'person']	['know', 'plays', 'violin', 'person']	['know', 'play', 'violin', 'person']	2, 4
I was shot up pretty bad .	I was shot up pretty bad	i was shot up pretty bad	['i', 'was', 'shot', 'up', 'pretty', 'bad']	['shot', 'pretty', 'bad']	['shot', 'pretty', 'bad']	4
Glad you reminded me .	Glad you reminded me	glad you reminded me	['glad', 'you', 'reminded', 'me']	['glad', 'reminded']	['glad', 'reminded']	5
Died thinking it might be over between us .	Died thinking it might be over between us	died thinking it might be over between us	['died', 'thinking', 'it', 'might', 'be', 'over', 'between', 'us']	['died', 'thinking', 'might', 'us']	['died', 'thinking', 'might', 'u']	8, 4, 6
So ... what in the hell takes you to [LOCATION] every five minutes ?	So  what in the hell takes you to LOCATION every five minutes	so  what in the hell takes you to location every five minutes	['so', 'what', 'in', 'the', 'hell', 'takes', 'you', 'to', 'location', 'every', 'five', 'minutes']	['hell', 'takes', 'location', 'every', 'five', 'minutes']	['hell', 'take', 'location', 'every', 'five', 'minute']	1
That is ridiculous .	That is ridiculous	that is ridiculous	['that', 'is', 'ridiculous']	['ridiculous']	['ridiculous']	1, 3
Well , it should be a pretty smooth flight . The weather's clear to [LOCATION] .	Well  it should be a pretty smooth flight  The weathers clear to LOCATION	well  it should be a pretty smooth flight  the weathers clear to location	['well', 'it', 'should', 'be', 'a', 'pretty', 'smooth', 'flight', 'the', 'weathers', 'clear', 'to', 'location']	['well', 'pretty', 'smooth', 'flight', 'weathers', 'clear', 'location']	['well', 'pretty', 'smooth', 'flight', 'weather', 'clear', 'location']	8, 5
Move and I'll slit your throat !	Move and Ill slit your throat	move and ill slit your throat	['move', 'and', 'ill', 'slit', 'your', 'throat']	['move', 'ill', 'slit', 'throat']	['move', 'ill', 'slit', 'throat']	1
Hanford has extensive outdoor experience .	Hanford has extensive outdoor experience	hanford has extensive outdoor experience	['hanford', 'has', 'extensive', 'outdoor', 'experience']	['hanford', 'extensive', 'outdoor', 'experience']	['hanford', 'extensive', 'outdoor', 'experience']	8
This town likes its nasty little , backstairs gossip .	This town likes its nasty little  backstairs gossip	this town likes its nasty little  backstairs gossip	['this', 'town', 'likes', 'its', 'nasty', 'little', 'backstairs', 'gossip']	['town', 'likes', 'nasty', 'little', 'backstairs', 'gossip']	['town', 'like', 'nasty', 'little', 'backstairs', 'gossip']	3
Nail it .	Nail it	nail it	['nail', 'it']	['nail']	['nail']	8
Honey , dinner will be ready in about 30 , minutes .	Honey  dinner will be ready in about 30  minutes	honey  dinner will be ready in about 30  minutes	['honey', 'dinner', 'will', 'be', 'ready', 'in', 'about', '30', 'minutes']	['honey', 'dinner', 'ready', '30', 'minutes']	['honey', 'dinner', 'ready', '30', 'minute']	2
This is a great exercise for the inner thigh . When I count to ,	This is a great exercise for the inner thigh  When I count to	this is a great exercise for the inner thigh  when i count to	['this', 'is', 'a', 'great', 'exercise', 'for', 'the', 'inner', 'thigh', 'when', 'i', 'count', 'to']	['great', 'exercise', 'inner', 'thigh', 'count']	['great', 'exercise', 'inner', 'thigh', 'count']	8, 2
I like street cats .	I like street cats	i like street cats	['i', 'like', 'street', 'cats']	['like', 'street', 'cats']	['like', 'street', 'cat']	5
In here ! Quickly !	In here  Quickly	in here  quickly	['in', 'here', 'quickly']	['quickly']	['quickly']	2
[PERSON] was right . You are lovely .	PERSON was right  You are lovely	person was right  you are lovely	['person', 'was', 'right', 'you', 'are', 'lovely']	['person', 'right', 'lovely']	['person', 'right', 'lovely']	5, 7
I'll give it back to you in the morning .	Ill give it back to you in the morning	ill give it back to you in the morning	['ill', 'give', 'it', 'back', 'to', 'you', 'in', 'the', 'morning']	['ill', 'give', 'back', 'morning']	['ill', 'give', 'back', 'morning']	8
Will you hold this a minute , please ?	Will you hold this a minute  please	will you hold this a minute  please	['will', 'you', 'hold', 'this', 'a', 'minute', 'please']	['hold', 'minute', 'please']	['hold', 'minute', 'please']	8
I sure pity the people that have to breathe in the daytime .	I sure pity the people that have to breathe in the daytime	i sure pity the people that have to breathe in the daytime	['i', 'sure', 'pity', 'the', 'people', 'that', 'have', 'to', 'breathe', 'in', 'the', 'daytime']	['sure', 'pity', 'people', 'breathe', 'daytime']	['sure', 'pity', 'people', 'breathe', 'daytime']	3
I mean , didn't you feel like A complete piece of gutless , spineless , Primordial slime ?	I mean  didnt you feel like A complete piece of gutless  spineless  Primordial slime	i mean  didnt you feel like a complete piece of gutless  spineless  primordial slime	['i', 'mean', 'didnt', 'you', 'feel', 'like', 'a', 'complete', 'piece', 'of', 'gutless', 'spineless', 'primordial', 'slime']	['mean', 'didnt', 'feel', 'like', 'complete', 'piece', 'gutless', 'spineless', 'primordial', 'slime']	['mean', 'didnt', 'feel', 'like', 'complete', 'piece', 'gutless', 'spineless', 'primordial', 'slime']	3
Now , this is pretty great .	Now  this is pretty great	now  this is pretty great	['now', 'this', 'is', 'pretty', 'great']	['pretty', 'great']	['pretty', 'great']	5
And lo and behold , we get through all of it ... the jackpot , the horse , this headcase [PERSON] , and here's this horse , ready to run .	And lo and behold  we get through all of it  the jackpot  the horse  this headcase PERSON  and heres this horse  ready to run	and lo and behold  we get through all of it  the jackpot  the horse  this headcase person  and heres this horse  ready to run	['and', 'lo', 'and', 'behold', 'we', 'get', 'through', 'all', 'of', 'it', 'the', 'jackpot', 'the', 'horse', 'this', 'headcase', 'person', 'and', 'heres', 'this', 'horse', 'ready', 'to', 'run']	['lo', 'behold', 'get', 'jackpot', 'horse', 'headcase', 'person', 'heres', 'horse', 'ready', 'run']	['lo', 'behold', 'get', 'jackpot', 'horse', 'headcase', 'person', 'here', 'horse', 'ready', 'run']	8, 2
I can't believe it myself .	I cant believe it myself	i cant believe it myself	['i', 'cant', 'believe', 'it', 'myself']	['cant', 'believe']	['cant', 'believe']	7
A great dandy , but very clever .	A great dandy  but very clever	a great dandy  but very clever	['a', 'great', 'dandy', 'but', 'very', 'clever']	['great', 'dandy', 'clever']	['great', 'dandy', 'clever']	8
God damn it .	God damn it	god damn it	['god', 'damn', 'it']	['god', 'damn']	['god', 'damn']	1
Someone gathered the powders to sleep to the tonic ?	Someone gathered the powders to sleep to the tonic	someone gathered the powders to sleep to the tonic	['someone', 'gathered', 'the', 'powders', 'to', 'sleep', 'to', 'the', 'tonic']	['someone', 'gathered', 'powders', 'sleep', 'tonic']	['someone', 'gathered', 'powder', 'sleep', 'tonic']	7
What do they want with us ?	What do they want with us	what do they want with us	['what', 'do', 'they', 'want', 'with', 'us']	['want', 'us']	['want', 'u']	4
Not mentally .	Not mentally	not mentally	['not', 'mentally']	['mentally']	['mentally']	6
Well , this is more like it .	Well  this is more like it	well  this is more like it	['well', 'this', 'is', 'more', 'like', 'it']	['well', 'like']	['well', 'like']	5
If he found out , he'd insist upon doing it himself if he had the money , which I doubt .	If he found out  hed insist upon doing it himself if he had the money  which I doubt	if he found out  hed insist upon doing it himself if he had the money  which i doubt	['if', 'he', 'found', 'out', 'hed', 'insist', 'upon', 'doing', 'it', 'himself', 'if', 'he', 'had', 'the', 'money', 'which', 'i', 'doubt']	['found', 'hed', 'insist', 'upon', 'money', 'doubt']	['found', 'hed', 'insist', 'upon', 'money', 'doubt']	4
