text	tokenized	preprocessed	label
Why not throw some empathy my way ?	['whi', 'throw', 'empathi', 'way']	whi throw empathi way	3
Why were you hiding the evidence ?	['whi', 'hide', 'evid']	whi hide evid	3
Why , [PERSON] , what a thing to say !	['whi', 'person', 'thing', 'say']	whi person thing say	3
Will you tell me what awful thing I did to you when you were a child ?	['tell', 'aw', 'thing', 'child']	tell aw thing child	3, 6
[PERSON] dam is a fraud .	['person', 'dam', 'fraud']	person dam fraud	3
Wipe first your chin , drunkard , and then the table !	['wipe', 'first', 'chin', 'drunkard', 'tabl']	wipe first chin drunkard tabl	3
Wipe that fucking smile off your face !	['wipe', 'fuck', 'smile', 'face']	wipe fuck smile face	3
With her bare hands , she just chopped him down !	['bare', 'hand', 'chop']	bare hand chop	3, 7
With my hand out , not in million years .	['hand', 'million', 'year']	hand million year	3
With the speechwriting , I don't want to do it anymore .	['speechwrit', 'dont', 'want', 'anymor']	speechwrit dont want anymor	3
Without their guns , they're nothing at all .	['without', 'gun', 'theyr', 'noth']	without gun theyr noth	3
Woman , go on about your business .	['woman', 'go', 'busi']	woman go busi	3
Women don't belong in the dressing room !	['women', 'dont', 'belong', 'dress', 'room']	women dont belong dress room	3
Women will be the death of you yet , [PERSON] .	['women', 'death', 'yet', 'person']	women death yet person	3
workingmen stand ready for work on Monday ... on the largest slaughterhouse outside [LOCATION] .  	['workingmen', 'stand', 'readi', 'work', 'monday', 'largest', 'slaughterhous', 'outsid', 'locat']	workingmen stand readi work monday largest slaughterhous outsid locat	3
Would we have approved killing him in babyhood when he was innocent , or killing his mother , or slaughtering his remote ancestors ?	['would', 'approv', 'kill', 'babyhood', 'innoc', 'kill', 'mother', 'slaughter', 'remot', 'ancestor']	would approv kill babyhood innoc kill mother slaughter remot ancestor	3
Would you like us to take a break ?	['would', 'like', 'us', 'take', 'break']	would like us take break	3
Would you really wear a thing like that ?	['would', 'realli', 'wear', 'thing', 'like']	would realli wear thing like	3, 6, 7
Wouldn't wan na mix your pleasures .	['wouldnt', 'wan', 'na', 'mix', 'pleasur']	wouldnt wan na mix pleasur	3
Wow . - I missed that one .	['wow', 'miss', 'one']	wow miss one	3, 7
Yeah , he's a first - class asshole , that's for sure .	['yeah', 'hes', 'first', 'class', 'asshol', 'sure']	yeah hes first class asshol sure	3
Yeah , he's bullshit .	['yeah', 'hes', 'bullshit']	yeah hes bullshit	3
Yeah , I bet she was a real beautiful girl before she met you .	['yeah', 'bet', 'real', 'beauti', 'girl', 'befor', 'met']	yeah bet real beauti girl befor met	3
Yeah , right .	['yeah', 'right']	yeah right	3, 7
Yeah , she'll wind up fat , alcoholic and miserable .	['yeah', 'shell', 'wind', 'fat', 'alcohol', 'miser']	yeah shell wind fat alcohol miser	3
Yeah , that was real stupid of me .	['yeah', 'real', 'stupid']	yeah real stupid	3, 6
Yeah , this building literally changed because of his disability .	['yeah', 'build', 'liter', 'chang', 'becaus', 'disabl']	yeah build liter chang becaus disabl	3, 5, 6
Years ago , when we still had executions in the state he used to volunteer as a witness .	['year', 'ago', 'still', 'execut', 'state', 'use', 'volunt', 'wit']	year ago still execut state use volunt wit	3
Yes , I know , I know .	['yes', 'know', 'know']	yes know know	3, 6
Yes , she did . I speak to your secretary more than I speak to you .	['yes', 'speak', 'secretari', 'speak']	yes speak secretari speak	3
Yes , well , she's a stupid woman .	['yes', 'well', 'shes', 'stupid', 'woman']	yes well shes stupid woman	3
Yet men have killed and proved a reason ... and been set free .	['yet', 'men', 'kill', 'prove', 'reason', 'set', 'free']	yet men kill prove reason set free	3
You a fifty - dollar whore ? - What are you doing ?	['fifti', 'dollar', 'whore']	fifti dollar whore	3
You ain't gonna have no crop because you got a sin on your soul .	['aint', 'gonna', 'crop', 'becaus', 'got', 'sin', 'soul']	aint gonna crop becaus got sin soul	3
You ain't learned yet who's running this show .	['aint', 'learn', 'yet', 'whos', 'run', 'show']	aint learn yet whos run show	3
You ain't no Captain you and sure as hell ain't no [PERSON] .	['aint', 'captain', 'sure', 'hell', 'aint', 'person']	aint captain sure hell aint person	3
You ain't nothin' but a [N-WORD] with straight hair .	['aint', 'nothin', 'nword', 'straight', 'hair']	aint nothin nword straight hair	3
You also know the usual French prison is filled with the relatives of all those poor little beetles you've killed .	['also', 'know', 'usual', 'french', 'prison', 'fill', 'relat', 'poor', 'littl', 'beetl', 'youv', 'kill']	also know usual french prison fill relat poor littl beetl youv kill	3
You and [PERSON] are a couple of sluts .	['person', 'coupl', 'slut']	person coupl slut	3
You and [PERSON] will be doing the dirty crockery alone this evening .	['person', 'dirti', 'crockeri', 'alon', 'even']	person dirti crockeri alon even	3
You are a class - A fuck - up , you know ?	['class', 'fuck', 'know']	class fuck know	3
You are a coward like all other people , aren't you ?	['coward', 'like', 'peopl', 'arent']	coward like peopl arent	3
You are a mutant .	['mutant']	mutant	3
You are an old man who will make trouble with his mouth .	['old', 'man', 'make', 'troubl', 'mouth']	old man make troubl mouth	3
You are dead inside .	['dead', 'insid']	dead insid	3
You are defeated but you have no shame .	['defeat', 'shame']	defeat shame	3
You are now different .	['differ']	differ	3
You are one ugly mother ... Motherfucker !	['one', 'ugli', 'mother', 'motherfuck']	one ugli mother motherfuck	3
You are probably an embezzler .	['probabl', 'embezzl']	probabl embezzl	3
You are spoiled .	['spoil']	spoil	3
You are the fool , Mr [PERSON] .	['fool', 'mr', 'person']	fool mr person	3
You aren't even allowed to look at her with her clothes on .	['arent', 'even', 'allow', 'look', 'cloth']	arent even allow look cloth	3
You beast .	['beast']	beast	3
You big baby .	['big', 'babi']	big babi	3
You big fool !	['big', 'fool']	big fool	3
You brat !	['brat']	brat	3
You break in here , and you tell me you think [PERSON]'s a murderer .	['break', 'tell', 'think', 'person', 'murder']	break tell think person murder	3
You can afford it when I kick your teeth !	['afford', 'kick', 'teeth']	afford kick teeth	3
You can just fucking die , you fuck .	['fuck', 'die', 'fuck']	fuck die fuck	3
You can not think of anything else than in you .	['think', 'anyth', 'els']	think anyth els	3, 6
You can rot for all I care .	['rot', 'care']	rot care	3
You can't even cook my breakfast .	['cant', 'even', 'cook', 'breakfast']	cant even cook breakfast	3
You can't make a dead man's knee jump any more than you can test a corpse's reaction to a prefrontal lobotomy !	['cant', 'make', 'dead', 'man', 'knee', 'jump', 'ani', 'test', 'corps', 'reaction', 'prefront', 'lobotomi']	cant make dead man knee jump ani test corps reaction prefront lobotomi	3
You can't take the life of another human being and get away with it !	['cant', 'take', 'life', 'anoth', 'human', 'get', 'away']	cant take life anoth human get away	3
You carry the stench of death like the plague .	['carri', 'stench', 'death', 'like', 'plagu']	carri stench death like plagu	3
You chickenshit bastard .	['chickenshit', 'bastard']	chickenshit bastard	3
You come home , you order out food ... and then you play those stupid [PERSON] albums until 2 , in the morning !	['come', 'home', 'order', 'food', 'play', 'stupid', 'person', 'album', 'morn']	come home order food play stupid person album morn	3
You conning him out of the deed without putting down a cent .	['con', 'deed', 'without', 'put', 'cent']	con deed without put cent	3
You could be talking about , , kids who have been victims of human trafficking .	['could', 'talk', 'kid', 'victim', 'human', 'traffick']	could talk kid victim human traffick	3, 4, 6
You couldn't lend us something more like you are wearing , could you ?	['couldnt', 'lend', 'us', 'someth', 'like', 'wear', 'could']	couldnt lend us someth like wear could	3
You dare hold your queen up to ridicule ?	['dare', 'hold', 'queen', 'ridicul']	dare hold queen ridicul	3
You didn't get it , [PERSON] .	['didnt', 'get', 'person']	didnt get person	3
You disturb the neighbors , I'll cut you up and eat you for dinner .	['disturb', 'neighbor', 'ill', 'cut', 'eat', 'dinner']	disturb neighbor ill cut eat dinner	3
You don't care about [LOCATION] , do you ?	['dont', 'care', 'locat']	dont care locat	3
You don't even have a yellow thing and your green thing is brown .	['dont', 'even', 'yellow', 'thing', 'green', 'thing', 'brown']	dont even yellow thing green thing brown	3
You don't fuck with my box !	['dont', 'fuck', 'box']	dont fuck box	3
You don't get the truth in the Senate .	['dont', 'get', 'truth', 'senat']	dont get truth senat	3
You don't give a shit about him .	['dont', 'give', 'shit']	dont give shit	3
You don't know a dam from a bathtub .	['dont', 'know', 'dam', 'bathtub']	dont know dam bathtub	3
You don't know any name offhand you like better ?	['dont', 'know', 'ani', 'name', 'offhand', 'like', 'better']	dont know ani name offhand like better	3
You don't look as if you had a dime between you .	['dont', 'look', 'dime']	dont look dime	3
You dumb bastard , why didn't you get some girl off the streets ?	['dumb', 'bastard', 'whi', 'didnt', 'get', 'girl', 'street']	dumb bastard whi didnt get girl street	3
You envy us . And what you envy ...	['envi', 'us', 'envi']	envi us envi	3, 6
You ever see a horse run himself dead just to please the man on his back ?	['ever', 'see', 'hors', 'run', 'dead', 'pleas', 'man', 'back']	ever see hors run dead pleas man back	3
You fat , disgusting slob !	['fat', 'disgust', 'slob']	fat disgust slob	3
You flaming fucking [GAY SLUR] !	['flame', 'fuck', 'gay', 'slur']	flame fuck gay slur	3
You fooled this young whippersnapper , but you didn't fool nobody else !	['fool', 'young', 'whippersnapp', 'didnt', 'fool', 'nobodi', 'els']	fool young whippersnapp didnt fool nobodi els	3
You found it on a bench , a dog's been at it ...	['found', 'bench', 'dog']	found bench dog	3
You gave a stranger who happens to mention my name the keys to our house ?	['gave', 'stranger', 'happen', 'mention', 'name', 'key', 'hous']	gave stranger happen mention name key hous	3
You girls a bunch of nudists ? Or you just , uh , short of clothes ?	['girl', 'bunch', 'nudist', 'uh', 'short', 'cloth']	girl bunch nudist uh short cloth	3
You go round there and say you're sorry .	['go', 'round', 'say', 'sorri']	go round say sorri	3
You go to hell .	['go', 'hell']	go hell	3
You goin' back ? Nah .	['goin', 'back', 'nah']	goin back nah	3
You got bird shit in your hair .	['got', 'bird', 'shit', 'hair']	got bird shit hair	3
You got it bad .	['got', 'bad']	got bad	3, 6
You got old .	['got', 'old']	got old	3, 6
You got something against fat people , too ?	['got', 'someth', 'fat', 'peopl']	got someth fat peopl	3
You got ta be a real putz to wear a white coat around here .	['got', 'ta', 'real', 'putz', 'wear', 'white', 'coat', 'around']	got ta real putz wear white coat around	3
You hate guys like me , don't you ?	['hate', 'guy', 'like', 'dont']	hate guy like dont	3, 4, 6
You have a great talent for creating difficult situations .	['great', 'talent', 'creat', 'difficult', 'situat']	great talent creat difficult situat	3
You have no respect for position .	['respect', 'posit']	respect posit	3
You have not even taken off his shoes .	['even', 'taken', 'shoe']	even taken shoe	3
You have till five o'clock .	['till', 'five', 'oclock']	till five oclock	3
You have to be a pig !	['pig']	pig	3
You have to wash up all over or no dinner .	['wash', 'dinner']	wash dinner	3
You haven't got the balls to boycott me .	['havent', 'got', 'ball', 'boycott']	havent got ball boycott	3
You homo !	['homo']	homo	3
You humiliated him again .	['humili']	humili	3
You idle apathetic !	['idl', 'apathet']	idl apathet	3
You just don't bury a famous movie star like she was an unidentified body .	['dont', 'buri', 'famous', 'movi', 'star', 'like', 'unidentifi', 'bodi']	dont buri famous movi star like unidentifi bodi	3, 6
You killed him .	['kill']	kill	3, 4, 6
You know that the child of two primitive apes will never learn how to speak .	['know', 'child', 'two', 'primit', 'ape', 'never', 'learn', 'speak']	know child two primit ape never learn speak	3
You know what happens to stragglers .	['know', 'happen', 'straggler']	know happen straggler	3
You know , I'm getting damn tired of your misplaced admiration .	['know', 'im', 'get', 'damn', 'tire', 'misplac', 'admir']	know im get damn tire misplac admir	3
You know , I'm no doctor , but I could swear this youngster's inebriated .	['know', 'im', 'doctor', 'could', 'swear', 'youngster', 'inebri']	know im doctor could swear youngster inebri	3
You know , I'm not so fond of raising money , but I think it's idiotic to turn that job over to him .	['know', 'im', 'fond', 'rais', 'money', 'think', 'idiot', 'turn', 'job']	know im fond rais money think idiot turn job	3
You know , it's a lot of legal rigmarole .	['know', 'lot', 'legal', 'rigmarol']	know lot legal rigmarol	3
You know , [PERSON] , I've just remembered I've got quite a lot of work to do tonight , so I think I'll be going .	['know', 'person', 'ive', 'rememb', 'ive', 'got', 'quit', 'lot', 'work', 'tonight', 'think', 'ill', 'go']	know person ive rememb ive got quit lot work tonight think ill go	3, 4, 6
You know , [PERSON] , it always distresses me , a man like Shooter here ... reaching his middle years and still having no assurance ... of next week's income .	['know', 'person', 'alway', 'distress', 'man', 'like', 'shooter', 'reach', 'middl', 'year', 'still', 'assur', 'next', 'week', 'incom']	know person alway distress man like shooter reach middl year still assur next week incom	3, 4, 6, 7
You know , with them new suits they're makin' , I bet they helping ' the sun tan oil sales ... all that skin to cover .	['know', 'new', 'suit', 'theyr', 'makin', 'bet', 'help', 'sun', 'tan', 'oil', 'sale', 'skin', 'cover']	know new suit theyr makin bet help sun tan oil sale skin cover	3
You know , you have a worse mouth than my kid .	['know', 'wors', 'mouth', 'kid']	know wors mouth kid	3
You know , you're looking at a minimum twenty years ?	['know', 'look', 'minimum', 'twenti', 'year']	know look minimum twenti year	3
You know , you're too stupid to even be a good bigot .	['know', 'stupid', 'even', 'good', 'bigot']	know stupid even good bigot	3
You let everyone sit around while you took your petty revenge ?	['let', 'everyon', 'sit', 'around', 'took', 'petti', 'reveng']	let everyon sit around took petti reveng	3
You letting this joker give orders ?	['let', 'joker', 'give', 'order']	let joker give order	3
You little piece of shit .	['littl', 'piec', 'shit']	littl piec shit	3
You lonely old coot .	['lone', 'old', 'coot']	lone old coot	3
You love your brother ?	['love', 'brother']	love brother	3, 7
You made Case feel like shit tonight 'cause he was scared .	['made', 'case', 'feel', 'like', 'shit', 'tonight', 'caus', 'scare']	made case feel like shit tonight caus scare	3
You make me sick when you speak , [PERSON] .	['make', 'sick', 'speak', 'person']	make sick speak person	3
You make me sick with your heroics .	['make', 'sick', 'heroic']	make sick heroic	3
You may join the others belonging to my uncle ... and henceforth you may take your orders from him .	['may', 'join', 'belong', 'uncl', 'henceforth', 'may', 'take', 'order']	may join belong uncl henceforth may take order	3
You men are a disgrace .	['men', 'disgrac']	men disgrac	3
You might choose your company with better taste .	['might', 'choos', 'compani', 'better', 'tast']	might choos compani better tast	3
You murdered your own brother . - You murdered your brother .	['murder', 'brother', 'murder', 'brother']	murder brother murder brother	3, 4, 6
You murdered your own god , by accident .	['murder', 'god', 'accid']	murder god accid	3
You murdering fool !	['murder', 'fool']	murder fool	3
You must be crazy .	['must', 'crazi']	must crazi	3
You must come from the Stone Age .	['must', 'come', 'stone', 'age']	must come stone age	3
You must have one idea for the good of the country .	['must', 'one', 'idea', 'good', 'countri']	must one idea good countri	3
You picked up that awful thing to show us your contempt .	['pick', 'aw', 'thing', 'show', 'us', 'contempt']	pick aw thing show us contempt	3
You practically raped her one night .	['practic', 'rape', 'one', 'night']	practic rape one night	3
You preached about faith and other rubbish .	['preach', 'faith', 'rubbish']	preach faith rubbish	3
You pulled them all off me , you stupid son of a bitch .	['pull', 'stupid', 'son', 'bitch']	pull stupid son bitch	3
You really and truly are a perfect bastard .	['realli', 'truli', 'perfect', 'bastard']	realli truli perfect bastard	3
You really believe that ?	['realli', 'believ']	realli believ	3
You really believe you can frighten me ?	['realli', 'believ', 'frighten']	realli believ frighten	3
You rinse , you get this glob of plaque you got ta spit out .	['rins', 'get', 'glob', 'plaqu', 'got', 'ta', 'spit']	rins get glob plaqu got ta spit	3
You run a taut ship .	['run', 'taut', 'ship']	run taut ship	3, 4
You run in the same circles .	['run', 'circl']	run circl	3
You seem easily impressed by numbers , captain .	['seem', 'easili', 'impress', 'number', 'captain']	seem easili impress number captain	3
You sit and discuss your sports and your young ladies and ...	['sit', 'discuss', 'sport', 'young', 'ladi']	sit discuss sport young ladi	3
You sit down and pull up your pants and where would it get you ?	['sit', 'pull', 'pant', 'would', 'get']	sit pull pant would get	3
You sleep in till noon , then you watch [LOCATION] and Bullwinkle .	['sleep', 'till', 'noon', 'watch', 'locat', 'bullwinkl']	sleep till noon watch locat bullwinkl	3
You slimy toad .	['slimi', 'toad']	slimi toad	3
You sound like a rug salesman .	['sound', 'like', 'rug', 'salesman']	sound like rug salesman	8, 3, 5
You speak to me of code ?	['speak', 'code']	speak code	3
You spoil me for death .	['spoil', 'death']	spoil death	3
You stay and cook one of your raw dinners .	['stay', 'cook', 'one', 'raw', 'dinner']	stay cook one raw dinner	3
You still serve that dull , grey stupidity .	['still', 'serv', 'dull', 'grey', 'stupid']	still serv dull grey stupid	3
You stole it .	['stole']	stole	3
You stole them turnips from [PERSON] and it's the wrong time of the year for stealing .	['stole', 'turnip', 'person', 'wrong', 'time', 'year', 'steal']	stole turnip person wrong time year steal	3
You take pleasure in torturing people !	['take', 'pleasur', 'tortur', 'peopl']	take pleasur tortur peopl	3
You talk like a madman .	['talk', 'like', 'madman']	talk like madman	3
You talk treason and death .	['talk', 'treason', 'death']	talk treason death	3
You tell us you're a doctor , you rogue ?	['tell', 'us', 'doctor', 'rogu']	tell us doctor rogu	3
You think I like playing sick little games with you ?	['think', 'like', 'play', 'sick', 'littl', 'game']	think like play sick littl game	3
You think I'll ever forget you running from that stupid clown ?	['think', 'ill', 'ever', 'forget', 'run', 'stupid', 'clown']	think ill ever forget run stupid clown	3
You think I'll let her out when you'll have her around people like [PERSON] ?	['think', 'ill', 'let', 'youll', 'around', 'peopl', 'like', 'person']	think ill let youll around peopl like person	3
You think I'm gonna team up with some [GAY SLUR] stool - pigeon .	['think', 'im', 'gonna', 'team', 'gay', 'slur', 'stool', 'pigeon']	think im gonna team gay slur stool pigeon	3
You think the clowns took him up and hung him in the yard ?	['think', 'clown', 'took', 'hung', 'yard']	think clown took hung yard	3
You think you can laugh me out of it as if I were a child .	['think', 'laugh', 'child']	think laugh child	3
You think you have free license to be insulting ?	['think', 'free', 'licens', 'insult']	think free licens insult	3
You think you know something about law .	['think', 'know', 'someth', 'law']	think know someth law	3
You think you're fast over land I'll go underground !	['think', 'fast', 'land', 'ill', 'go', 'underground']	think fast land ill go underground	3
You think you're pretty smart , don't you ?	['think', 'pretti', 'smart', 'dont']	think pretti smart dont	3
You thought that everything would happen behind your back , ... For your secret mission .	['thought', 'everyth', 'would', 'happen', 'behind', 'back', 'secret', 'mission']	thought everyth would happen behind back secret mission	3, 6
You told me you were taking me home .	['told', 'take', 'home']	told take home	3
You took him to a freaky fortune lady who scared the shit ...	['took', 'freaki', 'fortun', 'ladi', 'scare', 'shit']	took freaki fortun ladi scare shit	3
You took [PERSON]'s body .	['took', 'person', 'bodi']	took person bodi	3
You touch her , and the Food and Drug Administration gets you for fuckin' food .	['touch', 'food', 'drug', 'administr', 'get', 'fuckin', 'food']	touch food drug administr get fuckin food	3
You treat her bad .	['treat', 'bad']	treat bad	3
You used his head for a punching ' bag .	['use', 'head', 'punch', 'bag']	use head punch bag	3
You vermin !	['vermin']	vermin	3
You wan na say some more , you ugly bastard ?	['wan', 'na', 'say', 'ugli', 'bastard']	wan na say ugli bastard	3
You want me to talk with the Federal Bureau of Narcotics see if they have any problems ? Internal Revenue Service ?	['want', 'talk', 'feder', 'bureau', 'narcot', 'see', 'ani', 'problem', 'intern', 'revenu', 'servic']	want talk feder bureau narcot see ani problem intern revenu servic	3
You want to play games ?	['want', 'play', 'game']	want play game	3
You want to sit around drinking and feeling sorry for yourself .	['want', 'sit', 'around', 'drink', 'feel', 'sorri']	want sit around drink feel sorri	3
You want what you want when you want it .	['want', 'want', 'want']	want want want	3
You weren't supposed to touch [PERSON] !	['werent', 'suppos', 'touch', 'person']	werent suppos touch person	3
You wish you were foolish . Foolish should be a goal of yours .	['wish', 'foolish', 'foolish', 'goal']	wish foolish foolish goal	3
You , who can keep neither your eyes nor your nose or your person where they belong !	['keep', 'neither', 'eye', 'nose', 'person', 'belong']	keep neither eye nose person belong	3
You'd better get a man with younger arteries .	['youd', 'better', 'get', 'man', 'younger', 'arteri']	youd better get man younger arteri	3
You'd crawl over your dying mother to fuck your sister .	['youd', 'crawl', 'die', 'mother', 'fuck', 'sister']	youd crawl die mother fuck sister	3
You'd prefer the parents dead , too .	['youd', 'prefer', 'parent', 'dead']	youd prefer parent dead	3
You'll do your housework , eat chocolates , take care of the kid and you'll put on or pounds .	['youll', 'housework', 'eat', 'chocol', 'take', 'care', 'kid', 'youll', 'put', 'pound']	youll housework eat chocol take care kid youll put pound	3
You'll make a good living cow - thieving .	['youll', 'make', 'good', 'live', 'cow', 'thiev']	youll make good live cow thiev	3
You'll never mean anything but misery to any man .	['youll', 'never', 'mean', 'anyth', 'miseri', 'ani', 'man']	youll never mean anyth miseri ani man	3
You'll punish me .	['youll', 'punish']	youll punish	3
You'll see how cold my blood is when that coward comes back !	['youll', 'see', 'cold', 'blood', 'coward', 'come', 'back']	youll see cold blood coward come back	3
You'll tell her how you manipulated the American mood , hmm ?	['youll', 'tell', 'manipul', 'american', 'mood', 'hmm']	youll tell manipul american mood hmm	3
You're a bandit who eats children and old people .	['bandit', 'eat', 'children', 'old', 'peopl']	bandit eat children old peopl	3
You're a credit risk .	['credit', 'risk']	credit risk	3
You're a disgrace to your country !	['disgrac', 'countri']	disgrac countri	3
You're a fucking bastard !	['fuck', 'bastard']	fuck bastard	3
You're a killer !	['killer']	killer	3
You're a killer .	['killer']	killer	3
You're a liar , boy .	['liar', 'boy']	liar boy	3
You're a one - man disaster area .	['one', 'man', 'disast', 'area']	one man disast area	3
You're a pussy .	['pussi']	pussi	3
You're a trained killer !	['train', 'killer']	train killer	3
You're all worthless and weak !	['worthless', 'weak']	worthless weak	3
You're an asshole .	['asshol']	asshol	3
You're an operator , not a policymaker . Get used to it .	['oper', 'policymak', 'get', 'use']	oper policymak get use	3
You're back .	['back']	back	3
You're beautiful , [PERSON] , but sometimes you have the bad breath of priests .	['beauti', 'person', 'sometim', 'bad', 'breath', 'priest']	beauti person sometim bad breath priest	3
You're both so complicated .	['complic']	complic	3
You're crazier than a mule - humping goat .	['crazier', 'mule', 'hump', 'goat']	crazier mule hump goat	3
You're drunk .	['drunk']	drunk	3
You're fucking stabbing me in the back , man .	['fuck', 'stab', 'back', 'man']	fuck stab back man	3
You're full of shit !	['full', 'shit']	full shit	3
You're gonna be outta work , you keep scamming like you are .	['gonna', 'outta', 'work', 'keep', 'scam', 'like']	gonna outta work keep scam like	3
You're harming them psychologically .	['harm', 'psycholog']	harm psycholog	3
You're just a product .	['product']	product	3, 6
You're just as selfish as he is .	['selfish']	selfish	3
You're liars .	['liar']	liar	3
You're listening to a piece of shit like [PERSON] Tex.	['listen', 'piec', 'shit', 'like', 'person', 'tex']	listen piec shit like person tex	3
You're lyin' !	['lyin']	lyin	3
You're lying !	['lie']	lie	3
You're lying .	['lie']	lie	3
You're making me sick !	['make', 'sick']	make sick	3
You're mistaken if you think I'm leaving her here ... with a mother who doesn't consider her reputation .	['mistaken', 'think', 'im', 'leav', 'mother', 'doesnt', 'consid', 'reput']	mistaken think im leav mother doesnt consid reput	3
You're much too smart , aren't you ?	['much', 'smart', 'arent']	much smart arent	3
You're my boss , that's it .	['boss']	boss	3
You're no hero , so don't worry about it .	['hero', 'dont', 'worri']	hero dont worri	3
You're not gonna have a country that can make these kinds of rules work , if you haven't got men who can tell human rights from a punch in the nose .	['gonna', 'countri', 'make', 'kind', 'rule', 'work', 'havent', 'got', 'men', 'tell', 'human', 'right', 'punch', 'nose']	gonna countri make kind rule work havent got men tell human right punch nose	3
You're not talking to this guy .	['talk', 'guy']	talk guy	3
You're not the man your father was , [PERSON] .	['man', 'father', 'person']	man father person	3, 6
You're one pain in the ass I don't need .	['one', 'pain', 'ass', 'dont', 'need']	one pain ass dont need	3
You're out of your minds !	['mind']	mind	3
You're passing up the whitest man on earth for a dirty , no - good ...	['pass', 'whitest', 'man', 'earth', 'dirti', 'good']	pass whitest man earth dirti good	3
You're really sick , you know that ?	['realli', 'sick', 'know']	realli sick know	3
You're so dumb , you don't know you're alive .	['dumb', 'dont', 'know', 'aliv']	dumb dont know aliv	3
You're still an idiot .	['still', 'idiot']	still idiot	3
You're suffering from small eyes and fat asses .	['suffer', 'small', 'eye', 'fat', 'ass']	suffer small eye fat ass	3
You're the craziest old fool I guess I ever did see .	['craziest', 'old', 'fool', 'guess', 'ever', 'see']	craziest old fool guess ever see	3
You're the little guy that tried to make off with my queen .	['littl', 'guy', 'tri', 'make', 'queen']	littl guy tri make queen	3
You're the very animals I was coming to see !	['veri', 'anim', 'come', 'see']	veri anim come see	3
You're thinking she's a fool for doing it , even if it saved your hide ...	['think', 'shes', 'fool', 'even', 'save', 'hide']	think shes fool even save hide	3
You're too little and weak , like a girl .	['littl', 'weak', 'like', 'girl']	littl weak like girl	3
You're too smart for this .	['smart']	smart	8, 3
You've been drinking again , haven't you ?	['youv', 'drink', 'havent']	youv drink havent	3
You've got a big mouth , Senator .	['youv', 'got', 'big', 'mouth', 'senat']	youv got big mouth senat	3
You've got a real twisted mind , haven't you ?	['youv', 'got', 'real', 'twist', 'mind', 'havent']	youv got real twist mind havent	3
You've murdered a human being !	['youv', 'murder', 'human']	youv murder human	3
You've nothin to bitch about !	['youv', 'nothin', 'bitch']	youv nothin bitch	3
You've seen it and read it a thousand times .	['youv', 'seen', 'read', 'thousand', 'time']	youv seen read thousand time	3
Young man , your self - righteous piety is commencing to annoy me .	['young', 'man', 'self', 'righteous', 'pieti', 'commenc', 'annoy']	young man self righteous pieti commenc annoy	3
Younger Bear was just trying to hand me the worst possible insult .	['younger', 'bear', 'tri', 'hand', 'worst', 'possibl', 'insult']	younger bear tri hand worst possibl insult	3
Your breath stinks of it .	['breath', 'stink']	breath stink	3
Your breath stinks .	['breath', 'stink']	breath stink	3
Your finger got bited from your mouth with your teeth ? Uh-huh .	['finger', 'got', 'bite', 'mouth', 'teeth', 'uhhuh']	finger got bite mouth teeth uhhuh	3, 7
Your gutless hide is safe .	['gutless', 'hide', 'safe']	gutless hide safe	3
Your husband is harboring a killer .	['husband', 'harbor', 'killer']	husband harbor killer	3
Your manuscript went astray , that's all .	['manuscript', 'went', 'astray']	manuscript went astray	3
Your miserable life is not worth a reversal of a Custer decision .	['miser', 'life', 'worth', 'revers', 'custer', 'decis']	miser life worth revers custer decis	3
Your mom's having a stroke or menopause or something .	['mom', 'stroke', 'menopaus', 'someth']	mom stroke menopaus someth	3
Your money couldn't begin to pay for the window you broke .	['money', 'couldnt', 'begin', 'pay', 'window', 'broke']	money couldnt begin pay window broke	3
Your old man's a punk .	['old', 'man', 'punk']	old man punk	3, 6
Your old man's been blasted out of his wheels . And your king - sized brother's been twisted like a pretzel .	['old', 'man', 'blast', 'wheel', 'king', 'size', 'brother', 'twist', 'like', 'pretzel']	old man blast wheel king size brother twist like pretzel	3
Your refusal to speak to me is tediously immature , [PERSON] .	['refus', 'speak', 'tedious', 'immatur', 'person']	refus speak tedious immatur person	3
Your skin stinks of it .	['skin', 'stink']	skin stink	3
Your word to a breechclouted savage ?	['word', 'breechclout', 'savag']	word breechclout savag	3
Yours will , depend on it . Because you're like all criminals , you're greedy .	['depend', 'becaus', 'like', 'crimin', 'greedi']	depend becaus like crimin greedi	3
Hawkins !	['hawkin']	hawkin	4
He begged [PERSON] to let him live and offered him his lance .  	['beg', 'person', 'let', 'live', 'offer', 'lanc']	beg person let live offer lanc	4
He calls back , and this time he's very frightened .	['call', 'back', 'time', 'hes', 'veri', 'frighten']	call back time hes veri frighten	4
He can raise public opinion against us .	['rais', 'public', 'opinion', 'us']	rais public opinion us	4
He could shoot you and say you tried to run .	['could', 'shoot', 'say', 'tri', 'run']	could shoot say tri run	4
He couldn't hang out with his own , because there was nobody up there for him .	['couldnt', 'hang', 'becaus', 'nobodi']	couldnt hang becaus nobodi	4
He doesn't think the forensic chemist will be able to ID the spermicide .	['doesnt', 'think', 'forens', 'chemist', 'abl', 'id', 'spermicid']	doesnt think forens chemist abl id spermicid	4
He ever , uh ... touch you ?	['ever', 'uh', 'touch']	ever uh touch	4
