text	label	labelarr	first_label
I've got this town wired .	8	['8']	8
So you don't think that's funny ?	7	['7']	7
Ladies , stay down .	1	['1']	1
They hurt you any , [PERSON] ?	4	['4']	4
That's what makes it so good afterwards .	5	['5']	5
I told you . I never met the hag .	1, 3	['1', ' 3']	1
Now he's found me .	4	['4']	4
Power is on its way .	8, 2	['8', ' 2']	8
Did I do something wrong ?	4	['4']	4
There were bodies that were involved with some of these crashes .	5	['5']	5
Make me look good .	8	['8']	8
I don't think [LOCATION]'s ever coming back , [PERSON] .	6	['6']	6
I got a gift for you .	2, 7	['2', ' 7']	2
That's a sign you must be pretty happy .	5	['5']	5
Seriously , must you keep your bicycle in the hall , Father [PERSON] ?	1	['1']	1
I thought he didn't have any trusted friends except you .	7	['7']	7
You run along with Mammy .	2	['2']	2
They're armed .	2, 4	['2', ' 4']	2
Very well . I understand , doctor .	6	['6']	6
What are good friends for anyway ?	8	['8']	8
I want to overthrow the Grand Duchess .	2	['2']	2
Are you ready for my surprise ?	2	['2']	2
Here , at least , I'm a little star .	8, 6	['8', ' 6']	8
We've managed to keep it quiet , but if anyone knows , there'll be a SWAT team here .	4	['4']	4
Fantastic , isn't it ?	5	['5']	5
[PERSON] , I don't know what I'll do when you go .	4	['4']	4
She's wrapped all her adolescent dreams up in one dream prince , and you're it .	2, 4, 7	['2', ' 4', ' 7']	2
This is rusted tight .	1	['1']	1
Coward !	1, 3	['1', ' 3']	1
Very good !	5	['5']	5
Come on , [PERSON] . There's fish in the stream .	2	['2']	2
I lost my virginity and was raped , and I. . .	4, 6	['4', ' 6']	4
You don't know him like I do .	1	['1']	1
Let's get out of here !	4	['4']	4
I don't like the way you're treating [PERSON] and Mammy .	3	['3']	3
What's the matter , dear ?	4	['4']	4
I want them to tell [PERSON] that [PERSON] is dirty .	2	['2']	2
Oh , okay .	8, 4	['8', ' 4']	8
That's why audiences love me .	5	['5']	5
We ... we have a few more questions to ask .	4	['4']	4
No one's ever gotten away with a stunt like this before .	7	['7']	7
Earth , open up !	2	['2']	2
Got all the time in the world .	5	['5']	5
It was just so perfect I just had to catch it .	5	['5']	5
We got 'em !	2, 5, 7	['2', ' 5', ' 7']	2
And every single one of those memories that you're so desperate to pry out of his damaged brain can turn him right back into it .	3, 4, 6	['3', ' 4', ' 6']	3
After months of combat , it takes hours a day to keep her together .	8, 5, 6	['8', ' 5', ' 6']	8
You're perfectly right .	8	['8']	8
I hadn't heard you'd sold the place .	7	['7']	7
Gather around , me buckoes , and feast your eyes on this .	2	['2']	2
Honey , if you change your mind , just let me know .	8	['8']	8
That's the chukker , ladies and gentlemen .	2	['2']	2
Darling , is that you ?	2	['2']	2
Father mayii ! Where are you ?	4	['4']	4
You know this guy !	1	['1']	1
From then on I was hopelessly lost .	6	['6']	6
Let's go to St.[LOCATION] .	2	['2']	2
How soon can we have this on the market ?	2	['2']	2
Forget it !	1	['1']	1
Let's see !	2	['2']	2
Rather like a picnic , isn't it ?	5	['5']	5
You don't see what's happening .	1	['1']	1
Did I hear Lieutenant Junior Grade  ? 	1, 7	['1', ' 7']	1
I can try .	2	['2']	2
In the dream , the destroyer's destroyed .	4	['4']	4
I got a wife and a family I'm not with , [PERSON] ,	6	['6']	6
[PERSON] , I'd like to hear it speak .	2	['2']	2
We got to find [PERSON] .	8, 2	['8', ' 2']	8
I rehearse my story . I try to think of all the questions they'll ask .	7	['7']	7
All right , you rat prick .	3	['3']	3
Imagine this place on that day when the battleship [LOCATION]  fired that blank shot which signalled the Revolution . 	2	['2']	2
Who's the dame ?	2	['2']	2
Look at that !	5	['5']	5
I got a goddamn campaign to win .	1	['1']	1
We have to watch these convicts and murderers all the time .	3	['3']	3
Sounds great . I don't think she's taking us that seriously .	5	['5']	5
Better make it tomorrow .	2	['2']	2
[PERSON] , what's going on ?	1	['1']	1
Do you want to know everything ?	6	['6']	6
How did you enjoy the ride ?	5	['5']	5
What do you know about this ?	1	['1']	1
[PERSON] , thanks ever so much .	8	['8']	8
Robbers , plural ?	8	['8']	8
So if you're bad often enough , you'll die .	3	['3']	3
I enjoy to live .	5	['5']	5
Get going , [PERSON] ! [PERSON] !	1	['1']	1
It may bring you serious trouble .	4	['4']	4
Asses burnt to a cinder .	4	['4']	4
Dear , a mere child .	3, 4	['3', ' 4']	3
Sign it !	2	['2']	2
Oh , kids , I'm so sorry !	6	['6']	6
I would like you to meet a few of the exhibits here on the platform .	2	['2']	2
How do you know all that ?	7	['7']	7
It still has the keys , Mr. [PERSON] ? - Oui .	2, 7	['2', ' 7']	2
Admiral's party approaching .	3	['3']	3
This is where the fun starts .	8, 2, 5	['8', ' 2', ' 5']	8
My headache's much worse .	6	['6']	6
Look !	5, 7	['5', ' 7']	5
That high is not the one you're looking for . Believe me .	3, 6	['3', ' 6']	3
You gonna cry , [PERSON] ?	6	['6']	6
The government's got enough on its hands already without ...	3	['3']	3
Are they all shark victims ?	4	['4']	4
We've heard such wonderful things about you .	5	['5']	5
We're not interested in him .	3	['3']	3
Help us .	8, 4, 5	['8', ' 4', ' 5']	8
Satan , stop !	1	['1']	1
Stay with me .	4, 6	['4', ' 6']	4
Help me ...	8, 4, 6	['8', ' 4', ' 6']	8
I don't say that with any kind of blame or accusation , but that is when it started .	6	['6']	6
Simply no use trying .	6	['6']	6
Has decided to demolish ...	6	['6']	6
The spirit world , man .	8, 2	['8', ' 2']	8
I'm as good as [PERSON] ever was and I'm tired of being called a damn robot !	1	['1']	1
She's on her way . - Fine .	1	['1']	1
Just a moment .	2	['2']	2
Right now . - Right now ? - ( chuckles )	2, 5, 7	['2', ' 5', ' 7']	2
I'm sorry , gentlemen ...	6	['6']	6
Running around in that eye paint ain't gonna get you nowhere , boy .	1, 6, 7	['1', ' 6', ' 7']	1
Like a velvet glove cast in iron , and like the gas chamber , [PERSON] , a real fun gal .	1, 3	['1', ' 3']	1
You reject it .	6	['6']	6
Darling , your present just arrived .	2	['2']	2
Here's the , uh , camera , And the cassette recorder that you asked for . Thank you .	5	['5']	5
I've told you that a dozen times .	1	['1']	1
Maybe going on the wagon makes a man dull .	3	['3']	3
No way [PERSON] is going to talk me into cutting celery again .	1	['1']	1
Oh , you little beauty !	5	['5']	5
[PERSON] , you're going too fast .	1	['1']	1
She's vulnerable , wide - open to be hurt badly .	4, 6	['4', ' 6']	4
Look , [PERSON] , I - I've known all along That you were stealing food and treasure .	6	['6']	6
Yeah , I got you .	8	['8']	8
I like street cats .	5	['5']	5
Then come the physical proofs :	2	['2']	2
That's my girl .	8, 5	['8', ' 5']	8
l knew you were gonna say that .	5	['5']	5
An immense reservoir of nature , Where I roam at will .	5	['5']	5
Who cares where he's going anyway ?	1	['1']	1
They'd go to Congress and get more funding .	6	['6']	6
What's Zharkov doing on the plane ?	7	['7']	7
But my shirt is wet .	1	['1']	1
He's doing fine .	5	['5']	5
I'll do a better job . You're so out of it , you'd botch that up .	1, 6	['1', ' 6']	1
What happens to us now ?	4	['4']	4
Honey , you comin' to bed ?	8	['8']	8
How you doing ?	8, 2, 5	['8', ' 2', ' 5']	8
What that child got to stand , the good Lord give her strength to stand .	6	['6']	6
Your refusal to speak to me is tediously immature , [PERSON] .	3	['3']	3
Otherwise , I fear not only for the safety of our men , but frankly , for their lives as well .	4	['4']	4
Go ahead .	8, 2	['8', ' 2']	8
[PERSON] , through you , we have learned that they seek plunder , not justice .	8	['8']	8
Listen , I got a favour to ask ya .	8	['8']	8
Then you ought to understand why I can't .	8	['8']	8
That's not for you to say .	1	['1']	1
Can I just have a second before we start ?	8	['8']	8
You look terrific .	5	['5']	5
Now , if you don't , then I will suspend you .	1, 2	['1', ' 2']	1
Oh , there ! Now , I'll just look perfect when I sing my song !	5	['5']	5
You're the first good thing that's happened to us .	5	['5']	5
Just like I belong as a priest . And your mother and your husband too .	8	['8']	8
He promised to pursue it vigorously .	4	['4']	4
This life is not only wicked and sinful .	3	['3']	3
What's his name again ?	7	['7']	7
But , sir , when the job's done , who knows if we can return by this route or whether we could find you if we did ?	4	['4']	4
You'll be called vice president , but you will be , de facto , something more .	8	['8']	8
You made an oath to obey the law .	2	['2']	2
Your son is sleeping there .	1	['1']	1
[PERSON] ' your life for that little fucker !	3	['3']	3
You won't take my check . I'll say .	1	['1']	1
Back the starboard engine !	7	['7']	7
It's awfully quaint , isn't it ?	4	['4']	4
[PERSON] was producing a motion picture , his first .	2	['2']	2
If this guy has any information , why hasn't he contacted you already ?	3, 7	['3', ' 7']	3
Darling , tell me , when are you to announce the exciting news about [PERSON] ?	2	['2']	2
Do you girls mind if we run some timing trials ?	2	['2']	2
He tries to prove he's a real man and he's not .	3	['3']	3
You didn't come to my wedding .	6	['6']	6
If there was a bum within miles , I was completely attracted to him .	3, 5, 6	['3', ' 5', ' 6']	3
Imagine being forced to build that in the condition they must be in .	4	['4']	4
I wan na do you .	8, 2, 5	['8', ' 2', ' 5']	8
I mean , you and I , right now , this weekend , we're here at this camp selling ourselves .	1	['1']	1
We should both go .	4	['4']	4
Get it through your head , or you and me are both gone too .	4	['4']	4
You naughty boys .	1, 3	['1', ' 3']	1
But you have such an honest face .	8	['8']	8
Come out , come out wherever you are ...	4	['4']	4
Remote and useful .	8	['8']	8
In fact , I'm just about to haul nuggies .	5	['5']	5
An ordinary vessel would've suffered heavy damage .	5	['5']	5
I'll get you now !	4	['4']	4
Bastard .	1	['1']	1
Do you want to be a truck driver again ?	1	['1']	1
Do you remember what sins ?	2	['2']	2
I don't make deals with peasants !	3	['3']	3
Look , friend , I already told you , you don't know me .	1	['1']	1
It's for you , the famous [PERSON] .	8, 2, 5	['8', ' 2', ' 5']	8
He was my first lover .	8, 5	['8', ' 5']	8
Cops are on strike , stupid .	1	['1']	1
We'll have to hope that that's enough .	4	['4']	4
It works ! I'm cured !	5, 7	['5', ' 7']	5
( giggles ) oh , you don't .	8, 5	['8', ' 5']	8
Walk like a man , for God's sake !	3	['3']	3
Sometimes the captain of a ship needs help ... constructive loyalty .	8	['8']	8
One , that I don't mess up as a manager .	4	['4']	4
Oh , it's still there .	7	['7']	7
Get your hands off him or I'll call the Metropolitan scuffers !	1	['1']	1
But I don't give up so easily .	1	['1']	1
I think I love you .	8, 2, 5	['8', ' 2', ' 5']	8
He doesn't have your heart .	8	['8']	8
A boy that I watched grow up was in that car that you threw the hornets into .	3	['3']	3
They told me you had a wine cellar , but I didn't believe it .	7	['7']	7
I thought you might be interested .	2	['2']	2
UFOs are as real as the planes flying over your head .	8	['8']	8
And you found out ?	7	['7']	7
I hope to see more of you , when you're free of the spell of Mr. [PERSON] .	2	['2']	2
There'll be a slight delay .	1	['1']	1
He asked her to marry him after the war .	8, 5	['8', ' 5']	8
Did I spend 9 , years with matadors not to learn about fear and safety ?	1	['1']	1
This is dreadful !	6	['6']	6
Hey , what kind of news are you leaving me there ?	2	['2']	2
People out there are looting the streets , robbing off hard earners , hard grafters .	3	['3']	3
Don't shoot !	4	['4']	4
Bad for you , worse for me .	6	['6']	6
We're not one - issue voters .	8	['8']	8
Well , it's , very kind of you ...	3	['3']	3
In a few months , I will become a citizen .	2	['2']	2
But , I , after spending years I found not a shred of evidence that we have alien visitors in our skies .	3	['3']	3
You're welcome to join me .	2	['2']	2
You look a little off - colour , [PERSON] .	4	['4']	4
knots through the harbour ?	7	['7']	7
You're not beginning that again , are you ?	7	['7']	7
And I said ...	2	['2']	2
Shh . Somebody's out there .	4	['4']	4
He's peeing on me .	3	['3']	3
Come here , quick !	2	['2']	2
Ka - rumph ! We were smashed to port .	1, 7	['1', ' 7']	1
How come you bought one ?	7	['7']	7
You can do this ?	7	['7']	7
They're all friends of mine .	5	['5']	5
Stay with my mother ?	1, 3	['1', ' 3']	1
Don't listen to her !	4	['4']	4
Put the gun away .	1	['1']	1
even though it continues to dominate the market for sex ads .	3	['3']	3
I must be going senile .	6	['6']	6
Something that no one's ever done for him before .	5, 6	['5', ' 6']	5
I like her .	5	['5']	5
They say you offering me favours .	2	['2']	2
I love those guys .	5	['5']	5
We've got nothing to wear . What about our habits ?	3, 6	['3', ' 6']	3
You're not going to leave your friend , sir ... are you ?	4	['4']	4
How much longer ?	3	['3']	3
This is your evening .	5	['5']	5
Join my class ?	2	['2']	2
We'll be getting into [LOCATION] tonight .	2	['2']	2
We need the Sheriff .	8, 4	['8', ' 4']	8
Even if we die ?	4, 6	['4', ' 6']	4
I wonder what's on the television ?	2	['2']	2
Well , then , bacon and eggs for me .	2	['2']	2
The deal with [PERSON] was a mistake .	3, 6	['3', ' 6']	3
I'm going with you .	2	['2']	2
I am speaking strictly , [PERSON] .	1	['1']	1
Do you think you'd feel any better if I fixed you some toast and coffee ?	8	['8']	8
Oh , no , no , no . I want to hear more about this .	2, 7	['2', ' 7']	2
That brought it down .	8	['8']	8
What's your interest in this ?	1	['1']	1
All I ever do is try to make you happy .	6	['6']	6
Just the way I like 'em .	5	['5']	5
Do you really think they can do anything ?	7	['7']	7
You can do it .	8, 5	['8', ' 5']	8
Ever since the first day I laid eyes on you , I knew I had to be yours and yours alone .	5	['5']	5
Because it hurts my ears when you do it .	1	['1']	1
Assure [PERSON] that he'll be in our prayers .	8	['8']	8
Yeah , I mind .	1	['1']	1
I'm sorry , maybe you don't want any company .	6	['6']	6
But when I see you with him , I feel better .	5	['5']	5
He heard a fragment of her conversation with the mother - in - law , when it demanded what it links was it showing any thing ?	8	['8']	8
We only have minutes on safe window of operation .	2	['2']	2
Sounds awful , doesn't it ?	6	['6']	6
Home team .	2	['2']	2
You can't go down there !	7	['7']	7
Busted .	1, 4	['1', ' 4']	1
I can't wait .	2	['2']	2
How about that mess .	3	['3']	3
My unreliable helmsman failed to warn me about that .	1, 6	['1', ' 6']	1
I could ask you the same question .	1, 2	['1', ' 2']	1
Oh , shit , he's here .	4	['4']	4
What are you , my mother ?	1, 4	['1', ' 4']	1
Have you thought for a moment about her ?	1, 3	['1', ' 3']	1
That's why I love them .	8, 5	['8', ' 5']	8
If it's OK with you , I'd just like to hold 'em here in my hand .	8	['8']	8
She loves us very much .	5	['5']	5
Doc , can I go with you to the AA meeting ?	8	['8']	8
[PERSON] , I might have died a happy man .	6	['6']	6
We've got to leave .	2	['2']	2
Fuzzball's our cat .	8	['8']	8
There will come a time , when those who sit above me will want you delivered .	3	['3']	3
It almost feels like you're one of us now .	8	['8']	8
[PERSON] didn't even look at me .	7	['7']	7
Isn't that terrible !	4	['4']	4
I expect you to take care of them .	8	['8']	8
Speak up or I'll shoot .	1	['1']	1
Shangri - la on dope .	5	['5']	5
It is spoken on all channels .	8, 4	['8', ' 4']	8
I'm not fit to be a senator !	4	['4']	4
There's gonna be a great deal that we're gonna be able to accomplish , the three of us .	2, 5	['2', ' 5']	2
[PERSON] is two minutes late .	1	['1']	1
Everybody is afraid here .	4	['4']	4
We did it , Mr. [PERSON] .	2, 5	['2', ' 5']	2
My life is none of your business .	1, 3	['1', ' 3']	1
Because you know I'm gonna walk out of that court , just like I did before .	2	['2']	2
You guys don't hear nothing , cos if you did we wouldn't be sitting here .	8	['8']	8
[PERSON] , I don't want to hear it .	6	['6']	6
Amine , can you hear me ?	2	['2']	2
You disapprove , sir ?	6, 7	['6', ' 7']	6
[PERSON] , anybody who's got two fists and a good heartbeat , they got a chance .	2	['2']	2
He's got such gentle eyes .	8	['8']	8
Don't ever try to come in between , you smart - eyed slob .	3	['3']	3
The circuit is overloaded . It's your bloody exercise machine . It's not my stair stepper .	1	['1']	1
Sir , I want to see what whaling is like .	2	['2']	2
Majesty I can present ... my young daughter , the new Countess of [PERSON] ?	2, 7	['2', ' 7']	2
Think I'm an idiot ?	1, 7	['1', ' 7']	1
No , don't ! Not this one .	6	['6']	6
Pretty fresh .	5	['5']	5
We'll have him watched from now until the day he sails .	1	['1']	1
You're not trying to get a story ?	7	['7']	7
What does it say ?	2	['2']	2
Just wait and see .	2	['2']	2
They put all this nonsense into his brain .	1	['1']	1
You're not afraid , huh ?	8, 2, 7	['8', ' 2', ' 7']	8
The job's too tough for you .	3	['3']	3
You're comfortable .	5	['5']	5
Rocky , mind if I talk to you outside about a few things ?	4	['4']	4
We lost [PERSON] !	4, 6, 7	['4', ' 6', ' 7']	4
Are you nuts ?	3	['3']	3
You do look pale .	6	['6']	6
Now , they're probably gonna crown us King and Queen of the Costume Ball .	2	['2']	2
Nobody's blaming the SEALs and nobody is blaming you , [PERSON] .	8	['8']	8
[PERSON] , you're so sweet .	5	['5']	5
I've written it for you .	8	['8']	8
The Ambassador too would be delighted .	5	['5']	5
You love him ?	7	['7']	7
I'm really sorry .	6	['6']	6
You should !	2	['2']	2
All right . Let's go through it again .	2	['2']	2
Escort him out of the building .	3	['3']	3
And now , I'll show you the greatest attraction of all .	2	['2']	2
I'm not testifying .	1	['1']	1
She's two hundred years old .	7	['7']	7
I don't like it , [PERSON] .	3	['3']	3
Cool it ! Or you're gonna get the same thing your boyfriend got .	1, 2	['1', ' 2']	1
Just relax .	8	['8']	8
This train can't wait .	1	['1']	1
Your mom wasn't ... well , and she needed time to recover , to get better .	6	['6']	6
A map's no good in the outback !	1	['1']	1
We ain't had a chance to get this place too nice .	6	['6']	6
Please call me when you get settled .	2	['2']	2
If I use my last wish ...	2, 5	['2', ' 5']	2
They're having a nice little game up there with that telephone .	5	['5']	5
Act your age !	3	['3']	3
It don't look good , Miss B. I can't see any way out of this one .	8, 4	['8', ' 4']	8
Doc , I don't want to fly any more .	6	['6']	6
If I didn't know better , I'd think you didn't like it here .	8, 1	['8', ' 1']	8
He wouldn't have , unless he were discouraged and angry .	6	['6']	6
He's the only one that's ever been nice to me .	8	['8']	8
He took her out buggy - riding in the late afternoon without a chaperon ... and then he refused to marry her !	1	['1']	1
I'll kill you all !	4	['4']	4
I'm very fond of my wife and kid .	5	['5']	5
It was mainly the beer I had with dinner mixed with the pain medicine I still take for when you shot me in the ass .	1	['1']	1
I don't think this bullshit's funny .	3	['3']	3
No one asked her to worry about me ...	6	['6']	6
Unsatisfactory .	1, 3	['1', ' 3']	1
How much longer is this [PERSON] going to hold out ?	2	['2']	2
I guess since I'm here , I got no choice , huh ?	4, 6	['4', ' 6']	4
I'm very upset , [PERSON] .	1, 6	['1', ' 6']	1
What can I do for you ?	8, 2	['8', ' 2']	8
If you want him to die , shoot now .	1, 4	['1', ' 4']	1
Hello . - Never , ever pick up the phone .	1, 4	['1', ' 4']	1
I think you'll like it .	2	['2']	2
Then talk to me . Tell me what happened .	8, 2	['8', ' 2']	8
Remember , Daddy loves you .	8, 5	['8', ' 5']	8
Hi , honey .	8, 5	['8', ' 5']	8
I've been trying to find you , but ...	6	['6']	6
What the fuck are you doing now , man ?	3	['3']	3
She's got the curse .	4	['4']	4
I promise you .	8	['8']	8
I'm glad for the company .	5	['5']	5
Well , it seems to me that you have some options .	2, 5	['2', ' 5']	2
Of course , Countess !	8	['8']	8
Therefore , we do here and now band ourselves ... into a brotherhood of buccaneers ... to practice the trade of piracy on the high seas .	8	['8']	8
I love a coward !	5	['5']	5
Now , I really think this is a good place to start looking .	2	['2']	2
Does not this makes you laugh ?	7	['7']	7
No need to worry , son .	8	['8']	8
She's the one .	8, 5	['8', ' 5']	8
If I let go , I'll fall !	4	['4']	4
I want to know absolutely everything that's happened up till now .	2	['2']	2
You OK ?	2	['2']	2
You taught that guy a lesson last night .	8	['8']	8
Hey ! I can't believe you got here !	5, 7	['5', ' 7']	5
The officers of the [PERSON] in happy celebration .	5	['5']	5
Wow !	5, 7	['5', ' 7']	5
Where's [PERSON] ? Who cares ?	1, 3	['1', ' 3']	1
Are you going to come or do I have to drag you ?	1	['1']	1
She's quite right . I'll look after them for you .	8	['8']	8
Here's good news for you bachelors .	5	['5']	5
You're the little guy that tried to make off with my queen .	3	['3']	3
You'll stay on a nice boat .	5	['5']	5
How long must we wait here ?	2	['2']	2
When you get on the roof , lie flat !	8	['8']	8
How did you learn to fight like that ?	7	['7']	7
Them Italians came one time and stole half the store .	3	['3']	3
Let's get her !	2, 4	['2', ' 4']	2
We have to go back to [LOCATION] , so we're going to stop off and see you on the way .	8, 5	['8', ' 5']	8
Sure , [PERSON] .	8, 5	['8', ' 5']	8
I told you no liquor in the office .	3	['3']	3
Is it worth the risk of a scandal ?	4	['4']	4
We say who , we say when , we say how much .	8	['8']	8
Did you bring me a present ?	2	['2']	2
How did you get in here ?	7	['7']	7
I wonder if you'd like to see my bathroom ?	2	['2']	2
I am aware of that , but to be seen together could be disastrous for us both .	4	['4']	4
I'm going to put a lot of money in here .	2	['2']	2
The remedy is in your hands ...	8	['8']	8
You mean they're throwing punches ?	7	['7']	7
I shot him .	1	['1']	1
I thought he only wanted me for their sake , but ... after his wife died , I realized he really does love me .	5	['5']	5
Could I get a level from you , please ?	8, 2	['8', ' 2']	8
Will you be joining us , Mr. [PERSON] ?	2	['2']	2
Maybe we better get inside , OK ?	8, 2	['8', ' 2']	8
The psycho - vigilante killer continues his daily diet for murder .	1, 4, 7	['1', ' 4', ' 7']	1
Uh , I'm father mayii . I called ...	4	['4']	4
Mr [PERSON] , you've fallen in with thieves .	1, 3	['1', ' 3']	1
It was always you and me .	5	['5']	5
But it's not real .	1, 3	['1', ' 3']	1
Don't be so impolite in the future	3	['3']	3
I'm in .	8, 2	['8', ' 2']	8
Let's go in .	2	['2']	2
I'm telling you , sir , you've got to put a stop to him now .	4	['4']	4
You heard what she said .	1	['1']	1
Let's make the most of it .	5	['5']	5
It's okay .	8, 2	['8', ' 2']	8
Today , the captain ordered a general drill for the safety of the crew .	8, 2	['8', ' 2']	8
Nothing can make up for the loss of your life savings ...	6	['6']	6
Judgement of murder !	1, 4	['1', ' 4']	1
Now , just a minute , gentlemen .	4	['4']	4
If I was you , I would upload your ad onto YouTube and show them who the real genius is around here .	1, 2	['1', ' 2']	1
We don't want none of his gratitude !	1	['1']	1
I would like to know you .	2	['2']	2
Particularly child trafficking .	1, 3, 6	['1', ' 3', ' 6']	1
Punch him , [PERSON] !	8, 1	['8', ' 1']	8
You made a mistake , that's all .	8	['8']	8
It is not the one .	6	['6']	6
If we let those bastards get dug in now , we'll have to level the building !	1	['1']	1
You're going to protect me ?	4	['4']	4
I'm not denying anything .	1	['1']	1
( laughter ) woman :	4	['4']	4
Think we should find a rubbish dump or something .	3	['3']	3
That's the boy's weak spot !	3	['3']	3
That was really the heart of my sincere interest .	8, 5	['8', ' 5']	8
♪ For me and you ♪	5	['5']	5
Why is she still walking around ?	1	['1']	1
Now you're talking .	5	['5']	5
It's kind of the hardest part of all these 'cause he doesn't -- He don't know why we're here .	4	['4']	4
I have been thinking about you . Really ?	2, 7	['2', ' 7']	2
[PERSON] , why don't you just ... Lighten up .	1, 2	['1', ' 2']	1
We'll have a whole factory .	2	['2']	2
When we go , you go !	8	['8']	8
[PERSON] , [PERSON] , [PERSON] .	3	['3']	3
I'm uncomfortable with whatever this is .	3	['3']	3
I'll be in my office if you need me .	8	['8']	8
Please be more careful in the future , Captain .	4	['4']	4
All right , though , innit ?	5	['5']	5
[PERSON] , are you okay ?	4	['4']	4
Grab this oar .	1	['1']	1
I don't like this house .	1	['1']	1
You're running the risk of harming your children .	4	['4']	4
The whole account balance bullshit , Regional knows someone's been stealing And I told them it was you .	1, 3	['1', ' 3']	1
I'd waited so long !	6	['6']	6
People always do what you tell them to do ?	1	['1']	1
Now [PERSON] and that dear little bride of his will be able to stay on at [LOCATION] and live happily ever after .	5	['5']	5
We may have another shark problem .	4	['4']	4
Is he always like that ?	7	['7']	7
I don't think so .	1	['1']	1
Yeah , I can just tell the way it smells that this is gonna be a great year for cotton , yeah .	2	['2']	2
He wants to give you all his support .	8	['8']	8
There are many problems attendant to running such a large territory .	4	['4']	4
I cast thee back to hell . To hell !	1	['1']	1
Actually , I'm feeling pretty relaxed now .	5	['5']	5
You murdered your own brother . - You murdered your brother .	3, 4, 6	['3', ' 4', ' 6']	3
All right . Set up a meeting . I'll hear them all out .	2	['2']	2
Hey ! Guess what ?	2, 5	['2', ' 5']	2
I'll be right there .	8	['8']	8
What brings you back so early ?	7	['7']	7
Come on , man . I feel fucked up already .	1, 3, 6	['1', ' 3', ' 6']	1
That was wonderful .	5	['5']	5
Looks like a nice day , huh ?	5	['5']	5
Goddamn it !	1	['1']	1
That gal's got you all messed up .	3	['3']	3
We should set an example , [PERSON] .	2	['2']	2
I am far more powerful than you can ever imagine .	8, 1, 2	['8', ' 1', ' 2']	8
What he would do one day , he would gladly undo the next .	3	['3']	3
All right , I will !	1	['1']	1
In here ! Quickly !	2	['2']	2
So , we have bought a little time to locate [PERSON] .	5	['5']	5
The President doesn't know it's occurring .	7	['7']	7
[PERSON] !	1, 4, 5, 7	['1', ' 4', ' 5', ' 7']	1
Leon , why are you so good to us ?	7	['7']	7
I think you're all being unfair .	1	['1']	1
I'd like your opinion .	8	['8']	8
Now that we've found each other again , I hope I shall see something of you .	2	['2']	2
It's for you .	8, 5	['8', ' 5']	8
Come on , one more time and you win the grand prize .	2	['2']	2
Which is fine , because you really never could have had me anyway .	5	['5']	5
Look , I take my medications . My problem isn't compliance .	1, 2, 4	['1', ' 2', ' 4']	1
When I came here , I thought this was gonna be a 30 - day stretch , maybe 60 .	7	['7']	7
I never heard anything more true .	8	['8']	8
Do not say that .	1	['1']	1
All right . Mind your shoving ' , mate .	5	['5']	5
It's a dead man .	3	['3']	3
He was very clever , so it was very hard to find out about .	8	['8']	8
Judge , you said we would be entitled to some leeway ...	8, 2	['8', ' 2']	8
( Knocking )	2, 4	['2', ' 4']	2
Clearly , you're not like everyone else .	8, 5, 7	['8', ' 5', ' 7']	8
Weak , a go - alonger , no character !	3	['3']	3
Why should I answer ?	1	['1']	1
It must be smooth like velvet .	5	['5']	5
I wouldn't give two cents for all your fancy rules if behind them they didn't have plain , ordinary everyday kindness .	1	['1']	1
Well , we want our dough .	2	['2']	2
What's the good news ?	2	['2']	2
A little expensive , but lots of fun !	5	['5']	5
No she didn't . - Did you kill her ?	1, 6	['1', ' 6']	1
Nice entrance .	7	['7']	7
About [PERSON] , you told me that your husband [PERSON] deserted you .	6	['6']	6
Now , it will go under in to hours .	8, 2	['8', ' 2']	8
His ambition has jeopardized the prosperity of the English people .	4	['4']	4
You're gonna be outta work , you keep scamming like you are .	3	['3']	3
Isn't that her dancing with that nice - looking young fellow over there ?	5	['5']	5
Why don't you sit in with us on it ?	2	['2']	2
There's a lot of things she could ask me but she won't say one darn word .	1	['1']	1
She never asks for money , but somehow she always happens to help grateful rich people .	3	['3']	3
Everything's going to be alright , son .	8	['8']	8
But it's very good !	5	['5']	5
The only two sober people there .	8, 4	['8', ' 4']	8
I didn't know anything about this .	6, 7	['6', ' 7']	6
No . [PERSON] is definitely not ' with me  ' . 	3	['3']	3
When I'm and you're still the way you are ?	3	['3']	3
A little rush ?	1	['1']	1
I didn't say come in .	1	['1']	1
You must come from the Stone Age .	3	['3']	3
You're turning into a zombie .	4	['4']	4
Will you shut up about the Army ?	1	['1']	1
Well , that's very poetic .	3, 5, 7	['3', ' 5', ' 7']	3
If you , Miss [PERSON] , know of any proof about aliens , you can give it to me and I guarantee you I will get it out , but I am skeptical .	8	['8']	8
You think you can laugh me out of it as if I were a child .	3	['3']	3
You stupid ...	1, 3	['1', ' 3']	1
Your mother was my dearest friend .	8	['8']	8
What the fuck man ?	1	['1']	1
The day before she did that terrible thing to me .	1, 7	['1', ' 7']	1
What the fuck are you doing with those ?	1	['1']	1
It's hard . Just tell me what you need .	6	['6']	6
I'll get even with you . I'll get even with you .	1	['1']	1
I didn't come here for grief counseling . I came for my inheritance .	3, 6	['3', ' 6']	3
No , this is my daughter's night . Really . Come on .	1	['1']	1
How'd you like to spend the rest of your life with Shooter ?	2	['2']	2
I've been hiding it just for you .	8	['8']	8
Don't you guys think that'll do it ?	4	['4']	4
